17842687
/m/047dqfh
/m/047dqfh
Rabindranath Tagore
1929

1 1
120s 1
128 1
146 1
2012 1
67 1
a 17
accident 1
adaptation 1
adjust 1
affair 1
after 3
against 2
age 1
air 1
alive 1
all 2
also 2
amit 3
amito 4
among 1
and 14
appears 1
april 1
aroused 1
as 5
at 7
attempt 1
bangalore 1
bangla 2
barbarians 1
barrister 1
be 4
become 1
bengal 1
biographer 1
blessings 1
book 2
bose 1
brought 1
building 1
builds 1
but 4
by 4
call 1
can 2
car 1
chores 1
close 1
collection 1
common 1
complaint 1
considered 1
contains 1
contempt 1
criticism 1
curiously 1
daily 1
daughter 1
day 1
debate 1
decade 1
decide 1
decided 1
demonstrating 1
depth 1
dialogues 1
directed 1
disappears 1
each 2
educated 1
elgin 1
employer 1
equate 1
escape 1
even 1
facing 1
farewell 1
feel 1
figure 1
fill 1
film 1
finds 1
five 1
for 3
foreword 1
form 1
forms 1
friend 1
from 4
full 1
girl 1
governess 1
group 1
guardian 1
had 1
hard 1
has 1
he 4
hear 1
her 1
heritage 1
hills 1
him 3
his 6
home 1
house 1
however 1
i 2
iconoclastism 1
illicitly 1
immerse 1
in 13
intellectualism 1
interpretations 1
into 1
is 11
issues 1
it 5
its 1
itself 2
jogmayadevi 1
jorasanko 1
jug 1
kabita 2
kalsi 1
ketaki 1
kill 1
known 1
konkona 1
kripalini 1
krishna 1
labannya 8
lake 1
late 1
later 1
lawn 1
life 1
like 3
literature 1
live 1
living 1
london 1
long 1
look 1
love 3
lovers 1
makes 1
many 1
marriage 1
marry 1
meeting 2
meets 2
mind 1
mirth 1
misty 1
mitter 1
mohua 1
more 1
morning 1
most 2
much 2
mukhopadhyay 1
must 1
my 3
name 1
nirjharini 1
nobel 1
not 1
novel 6
obtaining 1
of 20
often 1
on 3
opposition 1
original 1
other 2
our 2
out 1
own 1
oxford 1
pathetic 1
pc 1
penumbra 1
performed 1
play 1
poem 2
poems 2
poet 1
poets 1
presence 1
primarily 1
prize 1
production 1
pronounced 1
public 1
published 1
purity 1
rabi 3
rabindranath 4
radio 1
rahul 1
railing 1
ray 3
reading 1
real 2
reason 1
recounts 1
relationship 1
releases 2
remarks 2
reveals 1
revered 1
road 1
romance 2
see 1
selfreference 1
sen 1
separate 1
series 1
serious 1
served 1
set 1
severest 1
shared 1
sharma 1
she 1
shesher 2
shillong 2
short 1
shortly 1
significance 1
simplicity 1
sincere 1
sincerity 1
sir 1
star 1
staying 1
story 1
struggle 1
subject 1
submerged 1
suitors 1
suman 1
surface 1
tagore 3
text 2
thakur 3
than 1
that 4
the 30
their 2
them 1
theme 1
thereafter 1
these 1
they 3
this 3
though 1
through 1
tilting 1
to 10
together 1
towering 1
tradition 1
tragedy 2
translation 1
troth 1
trying 1
turns 1
understood 1
union 2
up 2
upon 1
use 1
vast 1
versatility 1
very 1
virulent 1
was 7
water 1
were 1
when 1
which 2
while 1
who 1
whose 2
will 3
with 2
without 1
wordsworth 1
work 1
write 1
writers 2
writes 1
writing 1
written 1
years 1
you 1
younger 1
youtube 1
