16203597
/m/03wcw8y
/m/03wcw8y
Sue Grafton
1990-05-05
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
83 1
a 29
about 1
absconded 1
according 1
affair 1
after 2
against 1
agnes 13
airport 1
alias 1
alibi 1
all 1
although 1
amongst 1
an 1
and 20
anne 4
anomalies 1
apartment 1
are 1
arranges 1
as 5
at 3
away 1
back 2
be 1
been 4
before 2
begin 1
being 1
birth 1
birthday 1
bodyguard 1
briefly 1
bronfen 2
bront 2
brother 1
buried 1
but 4
by 5
called 1
can 2
carson 1
certificate 1
cfi 1
changing 1
charlotte 1
child 1
childhood 1
chose 1
circumstances 1
city 1
colleague 1
come 1
confronts 1
confused 1
convalescent 1
convinced 3
couple 1
cover 1
crimes 1
criminal 1
dangerous 1
darcy 1
daughters 1
day 2
dead 1
death 4
decisions 1
deliberately 1
delighted 1
department 1
described 1
desert 2
desperate 1
died 1
dietz 3
discovers 2
do 1
down 3
driver 1
drives 1
early 1
eight 1
emily 3
eric 3
eventually 1
evidence 1
exactly 1
exchange 1
explains 1
facility 1
faked 2
family 3
few 2
fill 1
finally 1
finished 1
first 2
for 5
found 2
fright 1
from 2
frustrates 1
further 2
gain 1
gersh 2
get 2
gets 1
getting 1
goes 1
going 1
grey 4
gunpoint 1
had 1
happen 1
has 7
hasnt 1
have 1
he 1
head 1
heads 1
hear 1
help 1
helped 2
her 17
him 1
hired 2
hires 1
his 5
hitman 2
home 3
hospital 2
hostage 1
hours 1
however 1
identities 1
ill 1
in 10
including 1
initially 1
injuring 1
intention 1
intercept 1
interrupted 1
into 1
irene 7
is 15
isnt 1
it 1
journey 1
kept 1
kill 2
killed 1
killings 1
kills 2
kinsey 15
link 1
lives 1
local 2
locate 1
lottie 3
makes 2
making 1
man 2
managed 1
mark 1
match 1
meanwhile 1
meeting 1
memory 1
mentioned 1
messinger 7
millhone 1
missing 1
model 1
mojave 1
months 1
mother 6
moves 1
mrs 1
murdered 1
name 1
named 1
names 1
needs 1
new 1
news 1
next 1
night 1
novel 1
number 1
occupied 1
occur 1
of 9
off 2
offers 1
old 1
on 3
only 1
order 1
out 3
outsmarts 1
own 1
panic 1
paperwork 1
particularly 1
past 2
pathologist 1
patient 1
patrick 6
patty 1
people 1
phone 1
pi 1
pickup 1
place 1
plans 2
points 1
police 1
posing 1
possession 1
possessions 1
presumably 1
previously 1
prisoner 1
property 1
protect 1
pseudonym 1
reaction 1
realises 2
recognises 1
relating 1
relatives 1
remodelled 1
resident 1
responsibility 1
responsible 1
road 1
robert 1
rochelle 4
runaways 1
runs 1
santa 3
search 1
seems 3
seen 1
sees 1
serious 1
seriously 2
set 1
she 19
sheila 1
sickly 1
since 1
sister 1
sisters 1
slabs 2
so 1
sole 1
sometime 1
somewhere 1
son 3
soon 2
staff 1
stated 1
story 1
suddenly 1
suffers 1
surmises 1
surviving 1
suspect 1
suspects 1
take 2
taken 1
tea 1
teenage 1
tells 1
teresa 2
terrified 1
that 7
the 30
their 1
them 1
there 1
theresa 1
they 2
things 1
third 1
thirtythird 1
this 1
threat 1
three 2
times 1
to 30
took 1
totalling 1
town 1
track 1
tracks 2
trailer 2
transfer 1
travelling 1
treasured 1
tries 1
triggered 1
trip 1
truck 1
two 1
tyrone 1
use 2
used 1
vigilance 1
vw 1
was 1
were 1
when 4
where 1
which 3
who 10
will 1
with 4
within 1
years 2
young 1
