33591582
/m/0hgmwjv
/m/0hgmwjv
Angus Donald
2010-07-22
{"/m/02p0szs": "Historical fiction"}
alan 2
alanadale 1
an 2
and 2
assassination 1
attack 1
attempt 2
band 1
based 1
by 1
continues 1
crusade 2
dale 1
discovering 1
during 2
european 1
forced 1
from 1
he 1
his 1
historical 1
holy 1
hoods 1
in 2
is 3
join 1
land 1
leaders 1
learns 1
lionheart 1
novel 3
of 4
on 2
origins 1
outlaws 1
place 1
reconquer 1
richard 1
robin 2
saladin 1
story 1
takes 1
target 1
tasked 1
the 10
third 1
this 1
to 2
troubadour 1
warrior 1
which 1
with 1
