5162233
/m/0d5pfq
/m/0d5pfq
Libba Bray

16yearold 1
25 1
a 15
ability 1
able 1
about 2
academy 3
achieve 1
actual 1
addiction 1
after 4
afterlife 1
agrees 1
alive 1
all 3
along 3
also 3
an 4
ancient 2
and 33
angry 1
ann 4
appears 1
are 3
as 4
at 6
attempting 1
attend 1
attended 1
awaken 1
away 1
back 7
be 2
beauty 1
because 1
becomes 2
becoming 1
before 1
best 2
between 1
birthday 1
boarding 1
bombay 1
border 1
bring 1
brother 1
but 2
by 2
called 1
can 2
caves 3
changed 1
charlemagne 1
choses 1
circe 3
clairvoyance 1
close 1
committing 1
compromising 1
confesses 1
confronts 1
considered 1
continue 1
convinced 1
could 1
create 1
creature 2
cross 1
dating 1
dead 2
death 2
decide 1
decreased 1
defeats 1
demands 1
desires 1
destroys 1
diary 4
died 2
different 1
discovers 1
does 1
done 1
door 1
dowd 4
doyle 1
during 1
earlier 1
east 1
elena 1
encounter 1
escape 1
escaped 1
eugenia 1
ever 1
evil 1
existed 1
expected 1
fathers 1
felicity 4
felicitys 3
fight 1
find 2
finds 3
finishing 1
fire 2
first 1
for 11
force 1
forced 1
forgive 1
form 1
friend 4
friends 2
friendship 1
frightened 1
from 4
further 2
gemma 27
gemmas 4
get 2
girl 3
girls 5
go 1
goes 1
greatest 1
ground 1
grounds 1
group 2
growing 1
had 2
happen 1
has 3
hates 1
haunted 1
have 1
headmistress 2
hearts 1
help 2
her 27
his 1
home 1
horrible 1
however 2
human 1
if 1
illusions 1
images 1
in 10
india 1
influential 1
into 4
is 9
it 2
kartik 2
kill 1
killed 1
known 1
lacks 1
ladies 1
later 1
laudanum 1
lead 1
learns 2
leave 2
leaves 1
leaving 2
led 1
life 1
linked 1
little 1
lives 1
london 2
love 1
magic 2
man 3
market 2
mary 6
member 2
members 1
men 1
message 1
middle 1
mind 1
monotonous 1
most 1
mother 13
mothers 2
must 1
named 2
near 1
night 1
not 3
of 17
off 2
on 2
once 1
one 1
only 1
open 1
or 1
order 5
original 1
other 2
others 1
out 1
outcast 1
over 1
own 2
panics 1
part 1
peace 1
pippa 10
popular 1
possessed 1
power 2
powerful 1
powers 2
private 1
prophecy 1
protagonist 1
rakshana 1
read 1
reading 1
realize 2
realms 8
reesthoome 1
reestoome 1
relays 1
return 1
returns 1
roommate 1
ruin 1
run 1
runes 1
runs 2
sacrified 1
same 1
sarah 4
save 2
says 1
school 6
searching 1
secrecy 1
secret 1
see 1
seemed 1
seizing 1
selfknowledge 1
series 1
she 11
shipped 1
situation 1
sixteenth 1
sneak 1
something 2
soon 2
sorceress 1
spence 5
spirits 1
stay 1
still 1
strength 1
strong 1
suffer 1
suicide 1
take 1
takes 1
tell 1
tells 1
that 14
the 60
their 3
them 1
there 2
these 1
they 8
thinking 1
thinks 1
this 2
three 1
through 2
time 1
to 31
together 1
tormented 1
trapped 1
travel 1
true 2
truth 1
two 1
underwater 1
unguarded 1
unknown 1
vision 1
visions 5
visit 1
walking 1
wants 1
warned 1
warns 1
was 5
way 3
weave 1
well 1
what 3
when 3
which 1
while 2
who 2
will 3
wing 1
wishes 1
with 6
woman 1
women 1
world 2
would 1
written 1
years 1
young 2
younger 1
