16637082
/m/03yhxhq
/m/03yhxhq
Mervyn Jones

130s 2
34communism34 1
34is 1
a 31
above 1
accent 1
account 1
achieve 1
acres 1
actually 1
aden 1
adjoining 1
admired 1
admission 1
adroitly 1
affair 1
africa 1
after 2
against 1
agent 1
aggressive 1
all 3
almost 1
also 1
ambassador 1
ambitious 1
america 1
american 4
americans 2
amusing 1
an 13
analogy 1
analysis 1
and 37
animal 1
anomalies 1
another 1
any 2
anything 1
apologia 1
are 2
arts 1
as 11
asked 1
associated 1
at 10
attitudes 1
author 2
back 1
balance 1
battle 1
bbc 1
be 6
became 2
because 2
become 3
becoming 1
been 2
before 3
behind 1
being 2
bellum 1
best 1
better 1
between 2
beyond 1
body 1
bohemian 1
book 1
bore 1
bored 1
both 2
bottle 1
bovary 1
boy 1
bravery 3
briefly 1
britain 1
british 4
but 11
by 7
came 2
can 1
cannot 1
capitalism 2
cared 1
career 1
carlyle 1
carried 1
case 2
cease 1
centre 1
chapter 2
character 1
characters 2
charming 1
chased 1
chelsea 1
chivalric 1
chivalry 1
christianity 1
church 1
civil 1
close 1
closed 1
closely 1
clung 1
coal 1
coinage 1
comes 1
comfortable 1
commitment 1
communist 2
company 1
compared 1
complete 2
complexion 1
concerned 1
concludes 1
connolly 1
constantine 1
contains 1
correspondent 1
could 1
courageous 1
cow 1
crossed 1
crown 1
crushing 1
culminates 1
cupboard 1
cyprian 1
cyril 1
d 1
darkest 1
days 1
dead 1
deaths 1
debased 1
debases 1
dedicated 1
definition 1
demand 1
denies 1
departed 1
describes 2
desires 1
despair 1
development 1
devoted 1
dickensian 1
disease 1
disguise 1
displacement 1
displacing 1
distaste 1
do 5
does 1
done 1
doomed 1
down 1
dregs 1
drifted 1
during 2
dust 1
earls 1
early 1
east 2
easy 1
educational 1
either 1
embrasure 1
empire 2
empties 1
empty 1
encountered 1
ends 1
england 6
english 8
englishman 3
englishmen 1
ennoblement 1
equal 1
exist 1
expected 1
expresses 1
expression 1
extended 1
extermination 1
f 1
factory 2
factoryowning 1
failed 1
families 1
family 1
far 1
fascination 1
fascist 1
father 1
feeble 1
feel 2
fees 1
fellow 1
felt 1
fenton 1
fight 1
final 1
finally 2
fireeater 1
first 1
fixed 1
followed 1
foolish 1
for 8
force 1
foreign 1
foreigners 2
fought 3
found 1
fourletter 1
french 1
friend 1
from 4
general 2
gentleman 5
gentlemanly 1
gentlemen 1
get 2
getting 1
gin 1
girls 1
give 1
given 3
glasses 1
going 1
government 1
grave 1
gravity 1
great 1
greatgreatuncle 1
greedy 1
gun 1
had 5
hand 1
handful 1
handled 1
happy 2
harold 1
harrington 4
has 1
hate 2
hatred 1
have 6
having 1
he 23
here 2
hero 2
heroic 1
hes 1
higher 1
him 7
his 17
hitler 2
holding 1
home 1
hope 2
how 1
humour 1
hunger 1
i 9
ideals 1
if 1
ignorance 1
imaginative 1
immemorial 1
implies 1
impose 1
impressed 1
impression 2
in 41
incidentally 1
incidents 1
incompatible 1
indian 1
indicating 1
industrial 1
inexpensive 1
inferno 1
influenced 1
information 1
instead 1
intellectuals 1
interesting 3
interests 1
into 5
introduces 1
involvement 1
is 14
it 14
its 2
itself 1
jacob 9
jacob3s 1
jobs 1
john 1
journalism 1
journalist 1
just 1
keep 1
keeping 1
kind 1
knavish 1
knew 1
knightly 1
knowingly 1
known 1
labour 1
laments 1
language 1
lay 1
leading 2
lenin 1
less 1
let 1
liaisons 1
life 4
light 1
lightly 1
limit 1
little 2
lived 1
lives 1
london 2
long 2
lord 1
losing 1
love 2
loving 1
ludicrous 1
machine 1
machinery 1
madame 1
man 5
many 4
marches 1
marriage 1
married 1
marxist 1
masterword 1
matrosov 1
matter 1
may 2
me 2
mean 1
mediocrity 1
meet 1
meeting 1
melba 1
men 2
mens 1
mere 1
met 2
might 1
mighty 1
ministry 1
miranda 1
missed 1
missing 1
missionaries 1
mixture 1
money 2
more 4
mortified 1
moscow 1
mosley 1
most 1
moved 1
much 1
my 2
mystical 1
myths 1
name 1
names 1
nationstate 1
never 2
new 4
no 3
north 1
nostalgia 1
not 11
nouveaux 1
novel 1
now 1
obsession 1
obsolete 1
occupation 1
of 54
off 3
officer 1
often 1
oh 1
old 3
older 1
omne 1
on 6
once 3
one 5
ones 1
only 2
opening 1
opportunity 1
or 1
order 1
orders 1
original 2
originally 1
oswald 1
oumansky 1
our 4
out 2
outstanding 1
own 4
owners 2
ownership 1
owns 1
page 1
palinurus 3
paradoxes 1
particularly 3
party 1
pathetic 1
peasant 1
people 3
perhaps 1
person 1
pieces 1
place 2
point 1
political 1
position 1
post 2
posted 1
potential 1
power 3
practice 1
preceded 1
prep 2
presents 1
principle 1
prisoners 1
probably 1
process 1
proletariat 1
provincial 1
pupil 1
pursuit 2
put 1
puts 1
putting 1
quality 2
quarter 1
quickly 1
railway 1
rang 1
range 2
ranging 1
rarely 1
rather 1
raw 2
real 2
realised 1
reality 1
really 4
reduced 1
refer 1
reflections 1
regarded 1
regrets 1
regular 1
relatively 1
religion 1
remedy 1
reporting 1
required 1
resentment 2
respectable 1
responsibility 1
resurrected 1
returned 2
reuter 1
reveals 1
reverence 1
revert 1
revolution 1
revolutionary 1
rewarding 1
ribbon 1
rich 1
riches 1
ridiculous 1
right 3
rights 1
rise 1
risen 1
robberbarons 1
roosevelt 1
russia 5
russian 1
s 1
said 4
same 1
sat 1
saw 5
says 1
scale 1
school 2
screen 1
seduce 1
seeing 1
seemed 1
seems 3
seldom 1
selflessly 1
service 2
services 1
serving 1
shafts 1
shall 1
shared 1
shooting 1
shoulders 1
showed 1
shunter 1
side 1
silenced 1
sin 1
slavonic 1
sliding 1
sneer 1
snobbery 1
snobs 1
so 2
socialism 3
socialist 1
society 2
soldiers 1
some 1
something 1
sometime 1
son 1
sons 1
sophisticated 1
souls 1
sovereign 1
soviet 3
spent 1
spirit 2
spoke 1
square 1
st 1
stalingrad 1
standard 2
started 1
starts 1
states 2
status 2
stayathome 1
steelrimmed 1
still 1
strata 1
submission 1
successfully 1
such 3
suggested 1
superior 1
sure 1
survive 1
swamped 1
table 2
takes 1
tanks 1
targeted 1
than 8
that 12
the 116
their 2
them 1
themselves 1
then 2
there 5
theres 1
these 1
they 4
think 1
thinks 1
this 9
though 1
thoughts 1
threadbare 1
through 1
thrusting 1
time 3
tiring 1
titles 1
to 42
toast 1
tongues 1
top 1
towards 1
travelling 1
travels 1
triste 1
true 1
turned 1
two 1
type 1
typified 1
under 1
unemployment 1
unifier 1
union 1
united 2
unlocks 1
unquiet 1
unrestricted 1
unsuccessfully 1
until 1
up 1
upwards 1
us 1
usage 1
used 1
ussr 1
values 1
very 1
view 1
virginity 1
viscounts 2
vows 1
vulgar 1
war 11
wars 1
was 16
washington 2
watching 1
way 3
ways 1
we 7
wealth 2
wearing 1
weight 1
went 1
were 2
west 3
what 3
whatever 1
when 3
where 4
whereas 1
which 13
who 12
whose 1
wide 1
wife 1
win 1
with 13
woe 1
woman 1
women 3
word 2
words 1
worker 2
works 1
world 4
worse 1
would 2
writing 2
written 2
wry 1
yellow 1
yet 1
you 2
young 3
