30228561
/m/0g58fb1
/m/0g58fb1
Jeremy Rifkin

a 16
agricultural 1
all 1
allow 1
allowed 1
allows 1
also 1
an 1
analyses 1
and 30
area 1
argues 1
arguments 1
arrangements 1
as 5
attachment 1
autobiographies 1
barriers 1
be 3
became 3
began 1
believed 1
believes 1
better 1
biological 1
biology 2
biospherewide 1
book 1
bowlby 1
calls 1
capacity 1
capitalism 2
change 1
changes 4
chapter 1
chapters 3
children 1
civilization 1
civilizations 1
climate 1
collaboration 1
collapse 1
communication 4
communications 1
competition 1
complex 1
concept 1
concepts 1
connected 1
connects 2
consciousness 3
consists 3
constantly 1
contents 1
controlled 1
could 1
create 1
creativity 1
cultures 2
debate 2
decentralization 1
deconstructs 1
democracy 2
development 3
distance 1
distributed 3
divided 1
dominant 2
donald 1
each 1
electronic 1
emotional 1
empathic 1
empathy 6
empathyaltruism 1
emphasis 1
empire 1
empowering 1
energy 3
enter 1
equality 1
especially 1
evolve 1
evolved 1
existed 1
existence 1
exploration 1
explores 1
extrapolates 2
fairbairn 1
faith 1
fall 1
favour 1
first 1
five 2
focus 1
focuses 1
followed 1
for 2
fossil 1
four 1
freedom 1
freudian 1
from 3
fuels 1
function 1
geographic 1
geographicallylimited 1
god 1
gods 1
group 2
groups 1
has 2
he 2
heinz 1
highly 1
history 1
how 2
huntergatherer 1
hydraulic 1
hydraulics 1
identified 1
ie 1
in 13
included 1
including 1
individuals 1
intellectual 1
intensive 1
interaction 1
into 3
introductory 1
investments 1
irrigation 1
is 2
issues 2
it 1
john 1
klein 1
known 1
kohut 1
labour 1
language 1
large 1
larger 4
leading 1
lens 1
less 1
life 1
like 2
literature 1
local 2
love 1
management 1
market 1
married 1
materialistic 1
meaning 1
means 1
melanie 1
mill 1
mirror 1
mobile 1
mode 1
monotheistic 1
more 9
mortality 1
mythological 1
nationstates 1
neurons 1
new 1
of 28
on 3
only 2
operated 1
or 2
oral 2
organize 3
other 3
others 2
over 1
pandemics 1
part 3
parts 1
pathogenic 1
people 10
personal 4
perspective 1
philosophically 1
philosophy 1
played 1
population 1
populations 1
power 2
predict 2
press 1
prevalent 1
printing 1
privacy 1
production 2
proliferation 1
provides 1
psychological 1
psychology 4
qualitative 1
quality 1
radios 1
rather 2
reality 2
reason 1
regardless 1
regime 1
regimes 2
relates 1
relationalism 1
relationship 1
relationships 1
religion 1
remaining 1
renewable 1
requiring 1
rifkin 8
rise 1
role 1
roman 1
ronald 1
scripts 1
second 1
sense 1
shift 2
small 2
so 1
social 1
societies 3
solar 1
solve 1
sources 1
spiritually 1
started 1
steam 1
studying 1
subservient 1
such 1
summarizes 1
symbiotically 1
system 1
tales 1
techniques 1
telegraphs 1
telephones 1
television 1
terms 3
than 2
that 5
the 27
themselves 4
theological 1
theory 2
there 2
these 1
third 1
this 2
thought 1
three 1
through 1
thus 1
to 14
towards 1
town 1
truth 2
under 1
understand 1
value 1
valued 1
vastly 1
versus 2
was 4
water 1
well 1
were 2
which 1
who 1
will 2
wind 2
winnicott 1
wireless 1
with 8
works 1
writing 1
written 1
