26008710
/m/0b6lhl_
/m/0b6lhl_
Ed Docx
2003

a 2
accomplished 1
american 1
an 1
and 4
avenue 1
book 1
businessman 1
but 1
by 3
calligrapher 1
captivated 1
commissioned 1
commitment 1
describes 1
discovered 1
donne 1
for 1
from 1
girlfriend 1
growing 1
he 2
him 1
his 5
how 1
illuminated 1
infidelity 1
is 4
it 1
jackson 1
jasper 2
john 1
last 1
leaves 1
life 1
living 1
london 1
love 1
lucy 1
madeleine 3
most 1
narrated 1
neighbour 1
new 1
observations 1
of 1
off 1
perfect 1
recent 1
relationship 1
seducer 1
seemingly 1
serial 1
songs 1
sonnets 2
soon 1
tells 1
the 3
though 1
to 2
transcribe 1
transcribing 1
unravels 1
warwick 1
wealthy 1
when 1
whilst 1
will 1
with 1
