1674779
/m/05mgd2
/m/05mgd2
Madeleine L'Engle
1978-07-01
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
10 1
1000 1
12th 1
1860s 1
a 20
about 2
affect 1
after 1
against 1
agrees 1
along 1
america 2
american 4
an 1
ancestors 1
and 14
antagonists 1
antisocial 1
are 3
arises 1
as 2
at 3
became 1
become 1
been 1
begins 1
being 1
beings 1
better 1
between 1
book 1
born 1
both 1
boy 1
brandon 1
branzillo 4
bring 1
britain 1
brother 1
but 1
by 5
calvin 2
can 1
caused 1
century 1
change 1
changing 1
charge 1
charles 8
child 1
childhood 1
chuck 1
civil 1
combat 1
communication 1
conference 1
connection 1
connects 1
conquer 1
defeated 1
descendant 3
descendants 1
destruction 1
dictator 2
did 1
differently 1
dinner 1
disaster 1
dissolved 1
distant 2
dog 3
doing 1
door 3
down 1
during 2
echthroi 3
escape 1
evening 1
events 2
eventually 1
evil 2
expecting 1
explains 1
family 2
father 1
fighting 1
first 1
flying 1
folklore 1
for 5
from 3
gaudior 2
generations 1
goal 1
goes 1
good 1
grandmother 1
guestmeg 1
gwydyr 5
gwynedd 1
gywnedd 1
harcels 1
has 2
haunt 1
have 1
he 2
heavens 1
her 2
him 1
himself 1
his 2
history 1
home 3
how 1
however 1
impending 1
in 17
infighting 1
instead 1
into 1
introduced 1
introduces 1
irish 1
is 7
joined 1
kything 1
later 1
lays 1
learned 1
least 1
left 1
legend 1
line 1
lived 1
llawcae 1
local 2
locale 1
mad 3
maddox 2
madoc 8
make 2
man 1
many 1
married 2
marries 1
marry 1
matthew 1
may 1
mdash 1
meg 2
men 1
merging 1
might 1
mighthavebeens 3
motherinlaw 1
mrs 3
murry 1
must 1
named 1
native 2
near 1
new 1
news 1
north 1
novel 1
now 1
nuclear 3
of 14
okeefe 3
on 2
once 1
opens 1
out 4
part 1
passed 1
past 3
patrick 2
peaceful 1
people 1
pivotal 1
points 1
populations 1
prayer 1
precolumbian 1
prevent 2
princes 1
protection 1
puritan 1
receive 1
recitation 1
recite 1
resulting 1
reuniting 1
rhyming 1
rock 3
rune 2
scientist 1
settler 1
she 2
situations 1
so 1
south 2
starwatching 3
summons 1
teaches 1
telepathic 1
telepathically 1
than 1
thanks 1
thanksgiving 2
that 2
the 36
their 5
them 2
there 1
they 3
things 2
though 1
threat 1
threatened 1
throne 1
through 2
time 1
times 1
to 14
total 1
transoceanic 1
traveler 1
traveling 1
travelled 1
travels 1
tried 1
tries 1
turn 3
turned 2
two 1
unicorn 2
universe 1
unsure 1
unusual 1
very 1
wales 1
walk 1
wallace 8
war 4
way 1
welsh 2
when 1
which 1
who 3
whose 1
wind 3
winged 1
with 2
writer 1
wrote 1
years 2
