11401666
/m/02rb94z
/m/02rb94z
Rob Thurman
2007-03-06
a 10
abbagor 3
ability 4
about 2
acquire 1
after 6
again 1
all 2
allow 1
also 3
among 1
an 3
and 17
are 1
around 1
as 2
assault 1
assisting 1
assure 1
at 1
attacked 1
attacks 1
attempt 1
auphe 3
back 1
bar 2
be 2
because 2
been 1
before 1
being 2
blood 1
book 1
boss 2
bridge 1
brooklyn 1
brother 1
brothers 6
but 4
by 3
cal 8
calabassa 2
caleb 8
caliban 4
called 3
cerberus 5
clan 1
closing 1
connections 1
contact 1
contacts 1
crown 10
crowns 1
current 1
danger 1
dead 1
disaster 1
discover 1
discovers 2
do 1
door 1
down 2
earlier 1
employer 1
ends 3
escape 1
escapes 2
especially 1
everglades 1
everything 1
evil 1
exchange 1
father 1
feels 1
find 6
finds 2
flay 8
for 4
forced 1
friends 2
from 6
future 1
gangster 2
george 5
georgina 3
get 1
go 1
going 1
goodfellow 2
gypsies 1
gypsy 1
handed 1
happened 1
has 3
have 1
having 1
he 6
held 1
help 1
her 5
him 3
his 6
hob 4
hobgoblin 1
holding 1
home 1
hostage 1
idea 1
in 11
incites 1
information 1
informs 1
initial 1
into 1
is 14
isnt 1
it 2
killed 1
killing 2
kin 2
lead 1
leandros 1
location 1
look 1
loves 1
mafia 1
make 1
meeting 1
moonshine 2
most 1
mysterious 2
named 1
new 1
nightlife 1
niko 6
numerous 1
of 8
older 1
oldest 1
on 2
once 3
one 2
only 1
opens 1
or 1
order 3
orders 1
other 1
others 2
out 4
own 1
owner 1
pair 1
passed 1
plot 1
portal 1
possibly 1
powerful 1
previous 1
promise 1
psychic 2
puck 2
realize 2
realm 1
reason 1
regarding 1
relationship 1
reluctant 1
remaining 1
rescue 1
retrieving 1
revolves 1
safety 1
sealing 1
sense 1
separating 1
sequel 1
she 1
shows 1
slay 2
smell 1
son 1
space 1
steal 4
stolen 1
surprise 1
takes 1
talking 1
task 1
tear 1
telling 1
tells 1
tendency 1
that 10
the 48
their 2
them 2
then 5
there 2
they 7
thought 1
through 1
throws 1
to 31
together 1
towards 1
track 1
trait 1
troll 1
try 1
trying 1
tumulus 1
twist 1
under 3
up 2
use 2
used 3
violence 1
visit 1
wants 2
were 1
werewolf 3
when 1
whereabouts 2
while 1
who 3
with 4
wolf 1
work 2
works 1
wormhole 1
year 1
york 1
