5380713
/m/0dj8xv
/m/0dj8xv
Wally K. Daly

{"/m/014dfn": "Speculative fiction"}
a 2
affected 1
ameliora 1
an 1
anything 1
arms 1
becomes 1
been 1
break 1
busy 1
but 2
can 1
continent 1
country 1
dealer 1
decides 1
do 1
doctor 3
dwarf 1
enemy 1
even 1
evil 1
fomenting 1
has 1
hatred 1
him 1
holiday 1
is 1
leaving 1
mordant 2
nothing 1
of 3
peaceful 1
people 1
perfectly 1
peri 1
plans 1
sixth 1
so 1
stop 1
suggests 1
tardis 1
the 7
their 1
there 1
they 1
to 2
tranquela 1
truce 1
visit 1
when 2
will 1
with 2
working 1
