1602499
/m/05fv7t
/m/05fv7t
Milan Kundera

148 1
150 1
171 1
21 1
a 31
about 2
absolutely 1
act 2
after 6
again 2
agreed 1
agrees 1
almost 1
along 1
already 1
also 4
although 1
always 1
an 3
and 43
angels 1
angry 1
another 1
any 2
anywhere 1
approaches 1
are 5
arguments 1
arranged 1
arrested 1
arrives 1
as 10
asks 1
asleep 1
associate 2
at 2
attempt 1
attempts 1
attracted 1
author 3
back 1
bad 1
be 5
because 1
better 1
bibi 4
big 1
blemish 1
book 2
books 1
boss 1
broke 1
brother 1
brought 1
brown 1
build 1
but 8
by 9
cafe 1
cancelled 1
cannot 3
car 1
catches 1
causing 1
chance 1
change 1
charged 1
chats 1
circle 1
city 1
clandestine 1
clementis 2
clevis 1
coat 1
code 1
complain 1
concerning 2
conducted 1
confiscated 1
contending 1
continue 1
country 1
cousin 1
customer 2
czech 1
czechoslovak 1
czechoslovakia 1
dancing 1
date 1
day 2
deal 1
death 1
deceased 1
decides 1
deeply 1
depths 1
described 1
describes 3
describing 1
despair 1
desperately 1
destroying 1
develops 1
diaries 4
did 1
die 2
dinner 1
disgusted 1
do 1
doing 1
each 3
easier 1
end 1
erased 1
especially 1
eva 5
even 2
evening 1
events 1
eventually 2
example 1
explains 1
explores 1
extended 1
falls 1
family 1
far 1
fascinated 1
father 3
fears 2
february 1
fed 1
feeling 3
feels 2
fills 1
find 1
finding 1
finds 1
finishes 1
first 1
followed 1
for 12
force 1
forces 1
forgetting 1
former 2
found 2
friend 2
friends 1
from 10
gathering 3
gaudy 1
get 3
gets 2
gift 1
girlfriend 1
give 1
gives 1
glory 1
go 5
goes 1
goethe 1
going 1
gottwald 1
gradually 1
gray 1
great 2
group 1
had 4
half 1
has 4
hasnt 1
have 2
he 23
heart 1
held 1
help 3
her 30
hers 1
him 6
his 20
history 1
hjek 1
home 4
hope 1
horoscope 2
house 1
however 2
hugo 11
husband 2
if 3
immense 2
in 22
inadequacy 1
increasingly 1
infancy 1
inscribe 1
inscription 1
instead 1
insults 1
intentions 1
interest 1
interested 1
into 1
introduced 1
introducing 1
invites 4
inviting 1
is 17
it 8
items 3
jacket 1
jail 1
joy 1
karel 6
keep 1
keeps 1
klement 1
knowing 1
knows 2
kristyna 10
kundera 6
languages 1
last 1
later 1
laugh 1
laughing 1
laughter 2
learns 1
leave 1
leaves 1
left 2
legs 1
letters 5
life 4
listens 1
litost 4
long 2
longer 1
lose 1
lot 2
love 6
loved 1
loves 1
lusts 1
made 2
make 2
makes 1
making 1
man 2
manages 1
marketa 5
marxismleninism 1
means 1
meet 1
meeting 2
meets 2
memories 1
men 2
met 1
mind 1
mirek 3
misery 1
misinterpreted 1
misinterprets 1
miss 1
monday 1
more 1
morning 2
mostly 1
mother 5
motherinlaw 3
motif 1
mouths 1
move 1
moved 2
must 1
mute 1
name 1
named 3
narration 2
new 1
next 2
nicknamed 1
night 3
no 2
not 4
note 1
nothing 1
now 1
obvious 1
occupied 1
occurs 1
of 24
off 1
offers 2
on 4
once 1
one 9
only 1
or 2
orgy 1
ostriches 1
other 4
others 1
out 1
over 2
packed 2
pages 1
parallels 1
parcel 2
people 1
pertaining 1
pertains 1
philosophy 1
phoned 1
photograph 2
photographer 1
pleas 1
please 1
poetry 1
poets 4
point 1
prague 7
pregnant 1
present 1
private 2
professor 1
progressivism 1
propaganda 1
providing 1
questioning 1
r 1
read 1
reader 1
realization 1
realizes 2
reasons 1
rectify 1
refuses 3
relationship 2
remain 1
reminds 1
requested 1
retrieve 1
returning 1
returns 1
revenge 1
russians 1
saturday 1
saying 2
scene 1
section 2
seems 1
send 1
senses 1
sent 1
sentenced 1
separate 1
separated 1
setting 1
several 2
sex 2
sexual 1
sharing 1
she 8
shirt 1
short 1
simplistic 1
situation 1
six 2
sky 1
slacks 1
so 5
soaring 1
something 1
somewhere 1
son 1
soon 1
speech 1
sports 1
stands 1
start 1
starts 2
state 2
statement 1
states 1
stay 2
steps 1
still 1
stop 1
story 1
struggles 1
student 9
studied 1
studying 1
substitute 1
suggestion 1
sunday 2
supporter 1
surprised 1
tacky 1
take 4
talk 2
tamina 14
targets 1
tells 1
template 1
ten 2
terms 1
thanks 1
that 18
the 68
their 6
them 5
then 4
there 1
these 1
they 5
things 2
thinking 1
this 8
threatens 1
three 2
through 5
tie 1
time 1
times 1
to 63
together 1
toilet 1
told 1
torment 1
tracking 1
travels 1
treasonous 1
tries 3
trip 2
turns 2
two 3
ugly 1
under 1
underlines 1
uneasiness 1
until 1
up 4
upon 1
vigorously 1
visit 1
visited 1
vladimr 2
voltaire 1
vomited 1
waiting 1
wakes 1
wants 2
warn 1
was 4
way 1
weaker 1
week 1
when 3
where 1
wherein 1
which 6
while 1
white 1
who 6
whom 2
will 5
win 1
with 14
woman 3
word 2
works 1
worrying 1
worse 1
write 1
writer 1
writing 1
years 4
yet 1
zdena 1
zoo 1
