28108371
/m/0cmdvd3
/m/0cmdvd3
Jodi Picoult
2010-03-02
{"/m/05hgj": "Novel"}
a 7
accident 2
activities 2
admits 2
after 3
all 2
almost 1
also 1
an 3
analysis 1
and 13
anxious 1
any 1
are 3
argues 1
arrested 1
arresting 1
as 2
asks 1
asperger 2
at 1
autism 1
backpack 1
bathroom 1
because 1
becomes 1
blood 1
body 1
brother 3
by 1
case 1
cause 1
characteristics 1
characters 1
charged 1
cleaning 2
comfortable 1
consumes 1
conveyed 1
counselor 1
court 1
creating 1
crime 3
daily 1
dead 2
death 2
detail 1
detective 1
different 1
direction 1
dressing 1
eg 1
eighteen 1
emma 2
end 2
engage 1
evaluation 1
events 1
evidence 1
fact 1
fault 1
feel 1
feeling 1
fingerprints 1
first 1
fled 1
for 1
forensic 1
form 1
found 2
from 2
frustrates 1
getting 1
goes 1
guilty 1
has 1
he 10
helen 1
her 7
highfunctioning 1
him 1
his 9
hobby 1
home 1
house 1
hunt 2
identical 2
if 1
in 11
infuriates 1
investigators 1
is 9
issues 1
jacob 12
jess 8
killed 1
lack 1
lead 1
life 1
lives 2
lying 1
maguire 1
main 1
mark 1
matson 1
may 1
most 1
mother 3
moved 1
murder 1
murderer 1
naked 1
need 1
new 1
notebook 1
novel 2
obsessed 1
obsession 1
of 14
often 1
ogilvy 1
old 1
on 1
one 1
only 1
opens 1
or 1
original 1
out 1
outside 1
own 1
placing 1
planned 1
plot 1
points 1
pool 1
prosecution 1
prosecutor 1
proves 1
raises 1
realized 1
releasing 1
retrieved 1
rich 1
saw 1
scene 5
schedule 1
setting 1
sharp 1
shower 1
skills 1
slipped 1
social 1
solve 1
soon 1
structure 1
structured 1
such 1
suspect 2
symptoms 1
syndrome 2
talk 1
testifies 1
that 7
the 25
then 1
theo 4
this 1
those 1
to 8
trial 2
unexpected 1
unlabeled 1
up 2
victim 1
view 1
was 3
well 1
when 2
which 2
while 2
who 1
will 1
with 5
years 1
