5754273
/m/0f2wrs
/m/0f2wrs
Harry Turtledove
1995-02-21
143 2
42 1
a 29
abruptly 2
across 1
advance 1
advanced 1
advances 2
advantage 1
africa 1
after 5
afterward 1
against 1
air 1
aircraft 1
alerts 1
alien 3
aliens 1
alive 2
also 1
although 1
america 1
americans 1
among 2
amount 1
an 6
and 30
appears 1
are 8
arrival 1
arrives 1
as 11
assist 1
atom 1
atomic 9
attempting 1
attempts 2
atvar 1
australia 1
automobiles 1
away 1
baby 1
back 2
balance 1
barbara 4
battle 1
bavaria 1
be 5
become 1
been 3
before 3
begins 4
behalf 1
belfort 2
believe 1
berchtesgaden 1
between 2
bicycle 1
blow 1
bomb 5
bombs 1
boston 1
briefly 1
brings 1
brink 1
british 2
build 2
but 4
by 16
can 2
capable 2
capitulation 1
captivity 1
capture 1
captured 3
carriages 1
centuries 1
certainty 1
chance 1
charged 1
chicago 3
chief 1
city 1
closer 3
colonel 4
come 1
command 1
commandeered 1
completely 1
conference 1
conflict 1
conquest 1
consider 1
consigned 1
consolidate 1
cooperative 1
corporal 2
country 1
courier 1
creeps 1
croat 1
croatia 1
crossing 1
dakotas 1
darkness 1
dead 2
dealt 1
death 1
decides 1
decision 1
decisive 1
delivering 1
denver 4
deploying 1
designing 1
desire 1
desperately 2
destroyed 1
detonation 1
develop 2
development 2
device 2
difficult 1
dig 1
dire 1
dramatically 1
draws 1
drefsab 1
drive 1
driven 2
driving 2
drop 1
during 1
dynamics 1
earth 1
eastward 1
effort 1
efforts 1
either 1
electric 1
emergencies 1
emotionally 1
enamored 1
encourage 1
ends 1
enemies 1
engaged 2
engineers 2
enough 1
entire 1
entrusted 1
even 1
every 1
everyone 1
facilitate 1
fail 1
fg 1
fhrer 1
fierce 1
fight 1
fighting 1
finally 1
find 1
first 1
fission 1
flat 1
fleetlord 1
flew 1
focuses 1
for 5
forces 4
foreign 2
formed 1
former 1
france 1
fresh 1
from 8
front 1
frontline 1
garrison 2
general 1
german 4
germanrussian 1
germans 2
germany 3
give 1
given 1
gives 1
gorbunova 1
government 1
great 1
greater 1
ground 1
groves 2
guarding 1
had 3
hanford 1
hard 1
has 7
hasten 1
have 2
he 7
heads 1
heart 1
heavy 1
heinreich 1
heinrich 1
held 1
help 1
helped 1
her 3
him 2
his 7
hitler 1
hold 2
hope 2
horse 1
however 1
huddles 1
human 2
humanmade 1
humans 2
husband 1
i 1
if 2
illinois 1
impregnated 1
impression 1
improvement 1
in 30
incentives 1
independent 1
infantry 1
inferior 1
instead 1
intelligence 1
interrogated 1
into 4
invaders 1
is 22
it 2
italy 1
its 2
japan 2
japanese 2
jens 6
jewish 1
jger 8
job 1
just 1
kaluga 1
keep 2
keeping 1
kerosene 1
killed 2
killercraft 1
kingdom 1
knowledge 1
lab 4
laboratory 3
lake 1
lakes 1
lamps 1
landcruisers 2
landmine 1
language 1
larssen 4
latest 1
latin 1
learned 1
learns 2
leaves 2
leslie 1
liberated 1
lieutenant 1
lights 1
limited 2
lines 1
lizards 1
long 1
love 1
ludmila 1
lure 1
m103 1
made 1
maintains 1
make 1
manages 1
mankind 1
maps 1
marked 1
married 1
material 1
meeting 1
meets 1
meltdown 1
melteddown 1
member 1
merely 1
message 1
metallurgical 5
michigan 1
middle 1
might 1
miles 1
minimal 1
minister 2
minnesota 1
models 2
molotov 3
more 2
moscow 4
most 1
moves 1
moving 1
much 3
must 1
named 1
nations 1
nazi 1
nazisoviet 1
near 1
need 1
nemesis 1
new 1
news 1
night 1
no 1
north 1
not 5
nuclear 5
numerous 1
of 43
off 2
offering 1
officer 1
officers 1
on 8
once 1
onefourth 1
ones 1
only 4
open 1
operation 1
or 1
order 1
ordered 1
orders 1
otto 1
out 3
outofcontrol 1
outskirts 1
over 3
own 1
panther 1
panzer 2
part 1
partisans 1
patton 1
people 1
pep 1
petroleum 1
physicist 1
physicists 2
pilot 3
planted 1
plutonium 8
poland 1
portion 1
possession 1
possibility 1
power 1
pows 1
precious 1
pregnant 1
previous 1
prisoner 1
produce 1
produced 1
produces 1
production 1
program 1
project 1
pulled 1
puzzled 1
question 1
race 21
rapid 1
rate 1
rather 1
reach 1
reaches 1
reaching 1
reaction 1
reactor 1
recover 1
recruited 1
redefined 1
reduce 1
reduced 1
refuse 1
regiment 1
reich 2
relationship 2
relocated 1
remain 1
remains 1
represent 1
research 4
researchers 2
resisting 1
responsible 1
resulting 1
retreat 1
return 1
reunited 1
revealing 1
rhine 1
rifle 1
rifles 1
rudiments 1
sam 2
sample 1
scientists 1
scope 1
search 1
secret 1
sends 1
senior 1
serves 1
service 1
several 1
severely 1
she 3
shipment 1
short 1
shoulder 1
since 1
skorzeny 3
slower 1
slowly 1
slung 1
small 1
so 1
soldier 1
soldiers 2
soviet 4
space 1
spain 1
split 3
springfield 1
ss 1
stalin 1
standartenfhrer 1
stars 1
started 1
state 3
states 3
stay 2
still 2
stolen 1
stopped 1
story 1
struggle 1
struggling 2
stunned 1
submarine 1
substantial 1
success 1
successful 1
such 1
suffers 1
summer 1
superior 2
supervising 1
supplies 1
supremacy 1
surely 1
swiftly 1
take 1
taken 2
takes 1
talk 1
tank 1
technological 1
teerts 3
than 1
that 10
the 113
their 4
them 4
there 1
they 6
threats 1
tide 1
tiger 1
time 1
to 42
torture 2
toward 3
transferring 1
translator 1
travel 1
trouble 1
tunnel 1
turn 2
two 1
ukraine 2
ukrainian 1
under 1
understand 1
unfortunately 2
union 1
united 4
unproductive 1
unquestioned 1
upon 2
upset 1
us 2
usa 1
use 1
using 2
valiantly 1
virtual 1
visits 1
war 1
washington 1
way 1
weapons 2
wehrmacht 1
what 1
when 1
where 2
which 3
while 2
who 3
wield 1
wife 2
winter 1
with 20
within 1
wittelsbach 4
woefully 1
wonders 1
work 3
working 2
world 2
yeager 5
year 2
