10243761
/m/02q6bbp
/m/02q6bbp
Ian McEwan
1997
10yearold 1
a 18
about 1
acquaintance 1
adopt 1
after 1
air 1
an 3
and 16
another 2
any 1
apartment 1
appears 1
appendices 1
are 2
arm 1
arriving 1
asks 1
at 5
attempt 1
attempted 1
balloon 2
basket 1
beautiful 1
because 1
becomes 1
been 1
before 3
behind 2
being 2
believe 2
beloved 1
bottle 1
boy 1
bring 1
brink 1
bullet 1
burns 1
but 1
call 1
can 1
causes 1
celebrate 1
character 1
charges 1
child 1
clarissa 7
clerambault 1
cloudless 1
condition 1
consequences 1
couple 1
cry 1
danger 1
dangerous 1
day 1
de 1
deliver 1
delusional 1
detective 2
devastating 1
dies 1
disorder 1
dissatisfied 1
does 1
dragged 1
driving 1
during 1
effort 1
else 1
escapes 1
event 1
eventually 1
exchange 1
facts 1
fatal 1
fearing 1
first 1
fleeing 1
for 6
forgiveness 1
from 6
get 1
glance 2
godfather 1
gradually 1
grandfather 1
gun 1
had 1
hands 1
has 2
havoc 1
he 4
her 2
him 7
himself 1
his 6
hitman 1
home 2
hospital 1
hot 1
however 2
immediately 1
in 13
incident 1
incorrect 1
indelibly 1
innocent 1
insists 1
interrogation 1
interrupts 1
intervenes 1
into 2
is 7
it 3
its 1
jed 17
joe 17
john 1
joins 1
journey 1
killers 1
killing 1
knife 1
knowing 1
learn 2
leaves 1
letter 1
life 2
like 1
limits 1
living 1
logan 1
longterm 1
looking 1
love 2
lunch 1
madness 1
man 5
many 1
meant 1
medical 1
mellon 1
men 1
middleaged 1
misled 1
moorings 1
murder 2
neck 1
not 1
novel 1
now 1
obsession 1
of 10
on 4
one 1
open 1
or 1
orchestrator 1
other 3
out 2
own 1
parry 1
partner 1
passing 1
people 1
picnic 1
plus 1
pointing 1
possibly 1
prevent 1
psychiatric 1
purchases 1
rationalism 1
realises 1
receives 1
reconciled 1
relationship 1
remains 1
report 1
rescue 1
resulting 1
ripped 1
rose 1
safety 2
save 1
scene 1
second 1
sees 1
several 1
shoots 1
shot 2
shoulder 1
similar 1
sitting 1
skeptical 1
sofa 1
someone 1
soul 1
stalking 1
still 1
strains 1
stress 1
subsequent 1
sufferer 1
suffers 2
syndrome 1
table 1
taking 1
target 1
testing 1
that 13
the 33
their 3
them 1
then 1
there 1
they 1
thinking 1
this 2
threatening 1
three 1
through 1
to 9
uncured 1
union 1
upon 1
was 4
we 2
when 1
who 2
wine 1
with 6
without 1
witnesses 1
wouldberescuers 1
wreaks 1
years 1
