543142
/m/02ncw6
/m/02ncw6
John Grisham
1992
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 15
about 1
access 1
afraid 1
after 2
agreeing 1
allies 1
almost 1
an 3
and 11
appeal 1
appears 1
appoint 1
approach 1
are 1
as 5
assassination 1
assassinations 1
at 4
be 2
become 1
becomes 1
before 1
begins 1
behalf 2
both 1
brief 4
bring 1
business 1
by 3
callahan 1
calls 1
caribbean 2
case 2
cases 1
character 1
chief 3
cinema 1
circumstances 1
coal 3
committed 1
common 1
confront 1
confuse 1
connection 1
conservative 1
contacts 1
correct 1
country 1
court 4
cover 1
coverup 1
crisscrosses 1
damaging 1
darby 8
deaths 2
decides 1
denton 1
disguises 1
divergent 1
divided 1
document 1
drill 1
early 1
ecstatic 1
edition 1
editor 1
eliminating 1
endangered 1
ends 1
environmentalism 1
etc 1
eventually 2
every 1
evidence 1
expected 1
favor 2
fbi 3
few 1
filed 1
firm 1
fletcher 1
for 4
friend 2
from 1
front 1
gain 1
garcia 2
gavin 1
gay 1
getting 1
goes 1
grantham 4
gray 1
greed 1
habitat 1
had 1
has 1
have 1
her 5
hide 1
him 1
himself 1
his 7
history 1
holds 1
home 1
hoped 1
house 1
in 9
inside 1
involvement 1
is 6
island 1
it 1
its 1
jensen 1
joining 1
justice 2
justices 5
kill 1
killed 5
known 1
land 1
law 3
lawyer 2
least 1
leaving 1
legal 1
liberal 1
likely 1
louisiana 1
main 1
major 1
make 2
making 1
marshland 1
mattiece 6
may 1
men 1
might 1
month 2
more 1
morning 1
motive 1
nation 1
new 1
next 2
not 1
obtains 1
of 9
oil 2
on 5
one 1
only 1
out 1
page 1
parties 1
pelican 2
pending 1
philosophically 1
photographs 1
piece 1
place 1
points 1
politically 2
politics 1
porn 1
position 1
post 2
preexisting 1
president 3
professormentorlover 1
protect 1
prove 1
pseudonymous 1
public 1
quickly 1
reaches 1
real 1
records 1
relationship 1
reporter 1
research 1
residence 1
rosenberg 1
rule 1
run 1
school 1
sea 1
set 1
shaw 1
she 4
shock 1
shows 3
sides 1
simple 1
slain 1
soon 1
species 1
speculates 1
speculating 1
staff 1
stay 1
story 5
student 1
supreme 2
sure 1
surmises 1
surrounding 1
suspecting 1
take 1
target 1
testimony 1
that 5
the 38
their 2
them 1
themselves 1
then 1
this 1
thomas 1
thus 2
time 1
to 23
tries 1
try 2
tulane 1
turn 1
two 5
tycoon 1
university 1
up 2
various 1
verheek 1
verify 1
victor 1
videotaped 1
view 1
voyles 1
wanting 1
wants 1
washington 1
washingtonbased 1
way 1
well 2
were 1
which 4
while 2
white 1
who 4
why 1
will 1
with 5
worked 1
working 1
would 1
writes 1
