3838212
/m/0b2m1x
/m/0b2m1x
Larry Niven
1966
15 1
a 13
able 1
actually 1
after 4
again 1
against 1
ago 1
agrees 1
aimed 1
all 1
also 1
although 1
amplifier 2
an 1
and 14
another 1
any 1
armed 1
around 1
arranged 1
assumed 1
assumes 1
at 2
automatically 1
be 2
been 1
being 2
belters 1
between 1
billion 1
both 2
bottom 1
burst 1
by 3
cannot 1
catastrophic 1
centuries 1
change 1
cold 1
command 1
commit 1
complex 1
computer 1
confused 1
constructing 1
control 3
could 1
course 1
created 1
decided 1
destructive 1
developed 1
device 1
drive 1
earth 4
eighth 1
element 1
emergency 1
enable 1
encounter 1
enemies 1
enough 2
eons 1
eventually 1
every 2
evolved 1
existing 1
experiment 1
extinction 1
faced 1
facing 1
failed 1
failure 1
field 6
fields 1
food 2
for 5
found 2
from 1
function 1
galaxy 3
gas 1
generated 1
greenberg 6
grow 1
had 1
have 2
having 2
he 5
helmet 1
hide 1
highly 1
him 1
himself 1
his 8
how 1
humans 1
hundreds 1
hyperspace 1
impact 2
in 8
inside 1
instinctively 1
insufficient 1
into 2
is 9
it 3
its 1
itself 1
jettisoned 1
journey 1
knowledge 1
kzanol 9
lain 1
larry 1
life 1
living 1
long 1
machine 1
major 1
member 1
memories 2
millions 1
mind 1
mutated 1
navigation 1
nearest 1
neptune 2
not 1
oceans 1
of 13
off 1
on 4
once 1
one 4
order 1
other 1
out 1
over 1
overseer 1
own 2
participate 1
perished 1
personality 1
planet 3
plume 1
power 2
powerful 2
race 2
races 1
reactive 1
real 1
reasserts 1
recently 1
reclaim 1
reflective 1
repeat 1
rescue 1
rescuers 1
resident 1
resist 1
revealing 1
revolted 1
ruled 1
same 1
sea 1
seeing 1
sentient 2
set 1
sets 1
ship 1
shutting 1
since 1
slave 1
solar 1
space 1
spaceship 1
spaceships 1
spacesuit 1
spare 1
species 1
stasis 5
statue 3
steal 1
story 1
such 1
suffered 1
suicide 1
suit 1
survive 1
suspected 1
system 3
take 1
telepath 1
telepathic 3
that 4
the 29
their 1
them 1
there 1
these 2
they 1
thinking 1
thoughtamplifying 1
threatens 1
thrint 6
through 1
time 1
timeslowing 2
timing 1
to 17
traps 1
traveler 1
turned 1
turns 1
two 1
uninhabited 1
use 1
used 1
valuables 2
war 2
was 1
way 1
which 3
while 1
with 5
within 2
worse 1
would 1
years 2
yeast 2
