30960484
/m/0ggb9hl
/m/0ggb9hl
Jo Nesbø
2009
{"/m/0lsxr": "Crime Fiction"}
24 1
a 20
actual 1
addicted 1
affair 2
africa 1
african 1
after 1
alive 1
all 3
almost 1
also 1
an 3
and 39
angle 1
another 3
any 1
are 3
army 1
arrested 1
as 1
aspiration 1
associates 2
at 13
attempts 1
australia 1
avalanche 2
averse 1
aware 1
away 1
back 1
baffled 1
bait 1
bath 1
be 4
because 1
become 3
been 11
begin 1
believes 1
bellman 3
between 2
big 1
blackmail 1
blood 1
book 2
boy 1
budding 1
build 2
bullet 1
but 8
by 11
call 1
can 1
captured 1
case 3
cause 1
charges 1
close 1
clues 1
colleagues 1
coming 1
commit 1
concerned 1
conducting 1
confirm 1
confrontation 1
confronts 1
congo 1
considerable 1
constant 1
convince 1
convinces 1
costs 1
cover 2
covers 1
credit 1
crime 3
criminal 1
cut 1
death 4
decapitated 1
deduces 1
deep 1
department 1
describing 1
detection 1
detective 1
detectives 1
determined 1
determines 1
did 1
disappeared 1
discover 1
discovered 1
discussion 1
done 1
doomed 1
down 1
draw 1
drawn 2
drowned 1
drowning 1
during 1
each 2
eliminated 1
else 1
emanating 1
end 2
enquiry 1
entanglements 1
escape 1
euthanasia 1
events 2
eventually 1
exile 1
face 1
facing 1
failed 1
failing 1
fails 1
failure 1
fall 1
falls 1
farewell 1
father 3
feels 2
female 1
fiendish 1
final 1
finally 2
find 2
finds 2
fled 2
fleeting 1
follow 2
following 4
follows 1
for 7
forcing 1
former 2
found 4
free 1
from 7
funeral 1
gaining 1
get 1
ghosts 2
given 3
glued 1
go 1
gone 1
good 1
got 1
gotten 1
gravely 1
great 1
had 10
hanged 1
happy 1
harry 28
has 6
haunted 1
haunting 1
have 3
having 5
he 15
head 2
heartbreak 1
heavy 1
held 1
helps 1
her 7
herself 1
him 6
himself 3
his 9
hole 2
hong 2
hostage 1
hostility 1
hut 1
identical 1
ill 2
impact 1
in 16
incisions 1
include 1
increasingly 1
informs 1
initially 2
instead 1
instigate 1
instincts 1
into 1
intrigue 1
investigation 3
investigations 1
involved 2
is 25
it 4
kaja 6
kidnapped 1
killed 1
killer 11
kills 2
kind 1
known 1
knows 1
kong 2
kripos 5
landing 1
launched 1
leads 1
leave 1
life 4
like 1
lip 1
live 2
lives 1
lodge 3
longer 1
lost 1
love 4
man 1
manages 2
many 1
martine 1
meanwhile 1
meeting 1
memories 2
mercenary 1
mikael 1
missed 1
moles 1
moment 1
monopoly 1
moreover 1
mouth 1
mp 2
much 2
murder 5
murdered 3
murderer 3
murders 3
mutilating 1
national 1
near 2
nearly 1
new 2
night 1
no 2
noholdsbarred 1
norway 6
norwegian 1
not 3
novel 2
now 1
obtaining 1
odds 1
of 31
off 1
officer 2
officially 1
oleg 1
on 5
one 3
operation 1
opium 1
or 1
oslo 1
other 3
out 3
outsamrts 1
own 4
park 1
part 1
partner 1
passing 1
past 2
payment 1
perform 1
person 1
personal 1
planting 1
plot 1
poignant 1
police 2
political 1
potential 1
power 2
powerhungry 1
previous 6
previously 1
priority 1
professional 1
proved 1
public 1
rakel 2
real 1
realises 1
reconciliation 1
reconfirms 1
redeemer 1
refuses 1
reluctant 1
reminiscent 1
remorse 1
replace 1
request 1
resorting 1
responsible 1
results 1
resuscitating 1
return 2
returning 1
returns 2
rikshospitalet 1
rival 2
rope 1
ruthlessly 1
sacrificing 1
salvation 1
same 2
saved 1
scene 2
search 1
see 1
seeks 1
seems 1
selfimposed 1
serial 1
series 1
seriously 1
service 1
several 1
she 2
shooting 1
shot 1
showdown 1
similar 1
ski 3
slowly 1
small 1
snowman 4
solness 7
some 2
somebody 1
someone 1
son 1
special 1
spies 1
spots 1
squad 3
start 1
starts 1
sting 1
struggle 1
style 1
suffocated 1
suggested 1
suicide 1
super 1
supervisor 1
surveillance 1
suspicion 1
tacitly 1
taking 1
talents 1
target 1
team 1
tempestuous 1
that 11
the 74
their 2
them 7
then 2
there 1
therefore 1
they 2
third 1
this 4
those 1
though 5
three 1
time 4
times 1
to 45
together 2
trail 1
trap 1
traumatic 3
truly 1
trying 1
turned 1
turns 1
tussle 1
twice 1
two 4
under 1
unfortunately 1
unrelated 1
up 1
very 3
victims 1
volcano 1
was 3
well 1
what 2
when 3
where 3
whereas 1
which 3
while 2
who 8
whom 1
will 1
with 11
woman 3
women 2
working 2
worldweary 1
wounds 1
wrong 1
young 1
