549558
/m/02n_y1
/m/02n_y1
Robert Jordan
1991-10-15
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 14
aes 1
after 2
aiel 1
ajah 3
almeara 1
along 2
already 1
althor 1
alvere 1
among 1
amyrlin 2
an 1
and 18
andor 2
appears 1
are 3
arrival 1
as 3
at 3
attacks 1
aybara 1
baalzamon 5
balefire 1
bashere 2
battle 3
be 2
because 1
been 2
before 1
behind 1
belal 2
believes 1
betrayed 1
black 3
book 1
borderlanders 1
bridge 1
but 1
by 8
callandor 1
called 1
camp 2
cannot 1
catcher 1
cauthon 1
chase 1
chief 1
children 1
compulsion 1
corpse 2
corruptive 1
dagger 1
damodred 2
dark 2
darkfriends 1
darkhounds 2
daughterheir 1
declared 1
deduces 1
defeats 1
delivers 1
departs 1
disables 1
discover 1
down 1
dragon 4
dreams 1
duel 1
easar 1
egwene 4
elayne 5
encounter 1
end 2
enough 1
entering 1
entrusts 1
escape 2
explaining 1
faile 2
falls 1
fellow 1
finds 1
for 3
form 1
forsaken 3
from 2
gaebril 1
galad 1
gamble 1
gawyn 1
go 1
great 1
has 3
have 1
having 1
he 3
healed 2
her 3
him 2
himself 2
his 2
horn 1
human 1
hunt 1
hunted 1
hunter 1
hunting 1
hurin 2
illian 1
immediately 1
imprisoned 1
in 12
influence 2
inn 1
instead 1
interrupts 1
into 1
is 5
ishamael 1
it 1
joining 1
juilin 2
killed 1
kills 2
king 1
lan 1
later 1
lead 1
leading 1
learns 1
leaves 1
leaving 1
left 2
letter 2
liandrin 1
life 1
light 1
logoth 1
loial 1
lord 1
lover 1
mandragoran 1
mat 8
mathwin 1
meant 1
merrilin 1
min 1
mist 1
moiraine 7
money 1
morgase 2
mother 1
mountains 1
murder 2
not 1
nynaeve 3
of 20
on 2
once 1
one 3
order 1
pair 1
parchment 1
people 1
permanently 1
perrin 2
plot 1
possibly 1
practice 1
prefers 1
prevent 1
prophecy 1
prove 1
proving 1
pursues 1
quarter 1
queen 2
rand 6
reborn 3
remembering 1
repentant 1
report 2
rescue 1
rescued 1
reveal 1
risks 1
ruby 1
rules 1
saangreal 1
same 1
sammael 1
sanche 1
sandar 1
seat 1
second 1
secretly 1
sedai 2
seeking 1
sends 1
sets 1
shadar 1
she 1
shienar 1
shienaran 1
showed 1
siuan 1
skirmish 1
some 1
staff 1
stone 3
sword 1
take 1
taken 1
takes 1
tar 5
task 1
tear 7
tells 1
that 6
the 46
their 1
them 1
themselves 1
then 1
therefore 1
they 3
thief 1
thinks 1
this 1
thom 1
through 1
time 2
to 20
together 1
tower 2
trakand 2
transpired 1
trap 1
travel 1
traveling 1
trio 1
under 1
unwillingly 1
use 1
using 1
valon 5
verin 2
villages 1
was 2
way 3
well 1
what 1
where 2
white 2
who 4
will 1
wins 1
with 6
women 2
world 1
zarine 1
