165167
/m/015_d4
/m/015_d4
Christy Brown

{"/m/0xdf": "Autobiography"}
18 1
a 12
about 1
accept 1
advice 1
affliction 1
after 1
age 2
also 1
although 1
an 2
and 14
artistic 1
as 5
assisted 1
at 4
attendance 1
audience 1
author 1
autobiography 1
be 1
became 1
becoming 1
began 1
begins 3
believe 1
besides 1
best 1
body 1
book 4
boy 1
brown 8
by 3
called 2
can 1
carry 1
cart 1
cerebral 3
chalk 1
chapter 2
child 1
childhood 2
children 1
christy 1
clinic 2
collis 4
condition 1
confirmed 1
control 2
could 2
creation 1
creative 1
described 1
devoted 1
did 2
different 1
discovered 1
discovers 1
do 1
doctor 1
doctors 1
drafts 1
early 1
energy 1
enjoyment 1
established 1
even 1
event 1
experience 1
express 1
faith 1
family 4
fears 1
final 2
first 5
five 1
floor 1
foot 4
for 3
found 1
four 1
france 1
friends 1
from 4
full 1
fundraising 1
give 1
had 3
handicap 1
handicapped 1
handicaps 1
has 1
he 23
head 1
health 1
healthy 1
help 1
henry 1
her 1
here 1
him 3
himself 2
his 26
hold 1
hope 1
idiot 1
impeded 1
improvement 1
in 8
incident 1
included 1
incurable 1
individuals 1
intelligence 1
intelligent 1
introverted 1
irish 1
is 2
it 2
its 3
led 1
left 3
letter 1
life 3
like 1
literature 1
local 1
lose 1
lourdes 1
made 1
make 1
makes 1
marks 1
medical 1
member 1
mental 1
met 2
moment 2
months 1
more 1
mother 5
movements 1
new 1
not 4
noted 1
notice 1
occurs 1
of 12
old 1
on 3
or 1
out 1
own 1
pages 1
painting 1
palsy 3
patient 1
patients 1
person 1
physical 1
physically 1
piece 1
played 1
proves 1
provided 1
reader 1
reading 1
realize 1
received 2
reference 1
robert 1
scribble 1
seeking 1
siblings 1
since 1
sister 1
slate 1
small 1
snatches 1
so 1
something 1
son 1
sort 1
speak 1
speech 1
starts 1
struggle 1
suffered 1
supervision 1
supported 1
talents 1
tasks 1
teenage 1
tell 2
telling 1
than 1
that 6
the 24
there 1
these 1
they 1
think 1
this 6
those 1
through 1
throughout 1
time 2
title 1
to 14
toes 1
transforming 1
treatment 1
two 1
up 1
upright 1
used 1
version 1
very 1
wanted 1
warmly 1
was 7
way 1
went 2
were 2
what 2
when 1
which 1
whose 1
wild 1
with 7
worse 1
worst 1
writing 2
wrong 1
years 1
yellow 1
young 1
