21777525
/m/05mtzmj
/m/05mtzmj
Ellen Hopkins
2007-08-21
7eleven 2
a 19
able 3
access 1
addiction 1
after 7
agree 1
agrees 2
all 1
almost 1
also 2
an 2
and 30
angela 2
another 1
answering 1
apartment 2
are 4
arrested 1
arrive 1
as 3
asking 1
asks 3
asleep 1
at 7
attracted 1
awakened 1
baby 5
babysitter 1
back 4
bars 1
be 6
because 5
becoming 2
bed 1
been 3
began 1
begin 1
begins 3
begs 1
behind 1
better 1
birthday 1
blackmail 1
books 1
boy 1
brad 11
bring 1
but 5
buy 1
by 2
california 1
call 1
came 1
can 3
car 1
care 1
casinos 1
causes 1
cesar 2
chair 2
chance 1
check 1
checkup 1
christening 2
clothes 1
college 1
come 1
comes 5
coming 1
condition 1
confesses 1
contact 1
cop 1
could 1
couldnt 1
court 1
cousin 1
crank 4
crashing 2
crave 1
crystal 2
dating 1
daughters 1
day 2
dealer 1
decide 1
declines 1
desperate 1
detoxes 1
devon 1
didnt 1
done 1
during 2
eighteenth 1
ends 1
entire 1
estranged 1
even 2
every 1
fall 1
fallen 1
father 2
few 1
finding 1
finds 7
for 11
forced 2
from 3
get 3
gets 3
getting 1
girl 3
girls 1
gives 2
glass 1
go 1
goes 1
gone 1
ground 1
had 5
hadnt 1
half 1
harmful 1
has 4
have 3
having 2
he 12
her 25
herself 2
high 1
him 5
himself 1
his 2
history 1
home 4
homestate 1
hopeful 1
hopes 2
hoping 1
house 2
hunter 8
ice 1
if 2
in 11
instead 2
into 1
is 13
it 4
jail 2
jewelry 1
job 1
kicks 2
knows 1
kristina 24
late 1
learning 1
leaves 1
let 2
letreya 1
life 1
like 2
lines 1
live 1
look 1
love 2
loved 1
mad 1
make 2
man 1
manager 1
manages 1
mcdonalds 1
meal 1
meanwhile 1
meet 1
meets 1
meth 6
money 3
months 1
more 3
most 1
motel 1
mother 9
move 3
moves 1
moving 1
much 1
named 1
nearby 1
need 1
nevada 1
new 1
newspaper 1
no 1
not 2
novel 1
now 2
of 11
offered 1
offers 1
often 1
old 2
older 1
on 4
once 3
one 2
only 3
or 1
order 1
out 8
outside 1
over 3
pairs 1
party 1
passes 1
people 2
phone 1
picture 1
porn 1
pound 1
pregnant 1
prostitute 1
pure 1
put 2
quade 1
quantities 1
quits 1
raise 1
ratting 1
ready 1
realizes 1
reason 1
responds 1
right 1
robyn 3
rock 1
rolled 1
run 1
saddens 1
same 1
save 1
searching 1
seeing 1
sell 1
sentence 1
serving 1
seth 1
sex 3
she 32
shorten 1
should 1
sister 1
six 1
size 1
skinnier 1
sleeping 3
smoke 1
smoking 2
snort 1
so 4
some 2
soon 3
started 1
starts 2
stay 3
steals 1
step 1
stepfather 1
still 1
street 2
taken 1
takes 1
tell 1
than 1
that 14
the 26
their 2
them 1
then 2
there 2
they 10
theyd 1
things 1
thinks 2
this 3
though 1
thus 1
time 2
to 42
together 3
touch 1
trey 11
try 2
turn 1
two 1
under 1
unfit 1
until 1
using 1
wake 1
want 1
wants 1
was 4
weekend 1
when 3
which 3
while 4
who 1
whorehouse 1
why 1
wife 1
will 3
with 13
work 1
working 1
works 1
young 1
