10829132
/m/02qrb6d
/m/02qrb6d
Ali Liebegott
2006-12-13
a 12
after 2
alcoholics 1
along 1
also 1
amorous 1
an 1
and 7
anonymous 1
apart 1
apartment 3
are 1
as 1
at 2
be 1
book 1
both 1
by 1
california 1
college 1
confession 1
decides 1
devoted 1
disgruntled 1
dislikes 1
during 1
dwelling 1
employment 1
eventually 1
falls 2
feelings 1
female 1
firstperson 1
following 2
follows 2
for 3
former 1
francesca 11
francisco 5
from 2
gustavo 2
have 1
her 7
hostess 1
house 2
however 1
ihop 3
in 12
including 2
informed 1
intense 1
involve 1
irene 9
is 5
jenny 3
job 1
junior 1
least 1
leaves 1
lesbian 1
letter 1
life 1
living 1
loathing 1
love 4
lovers 1
man 1
maria 1
month 1
move 2
moves 1
named 2
narrative 1
nicknamed 1
nonviolence 1
not 1
novel 1
of 6
once 1
order 1
originally 1
other 2
own 1
papers 1
plan 1
portion 1
portrayed 1
position 1
proceeds 1
professor 2
promoted 1
quickly 1
relocation 1
remainder 1
represents 1
reside 1
residing 1
restaurant 1
reveals 1
role 1
sabbatical 1
san 5
search 1
set 1
she 3
significant 1
simple 1
simplicity 2
some 1
southern 1
spending 1
sponsor 1
still 1
story 2
students 1
that 1
the 13
they 1
time 1
to 10
together 1
twenty 1
two 2
undertake 1
undertakes 1
uniform 1
up 1
using 1
virgin 1
waitressing 1
way 1
wearing 1
which 1
while 1
who 3
will 1
wishing 1
with 5
without 1
woman 1
women 2
work 1
writing 1
written 1
yearold 1
