3254859
/m/091jcr
/m/091jcr
Donna Gillespie
1994-10-06
{"/m/014dfn": "Speculative fiction", "/m/0hwxm": "Historical novel"}
a 8
according 1
advisor 1
affairs 1
after 1
against 1
and 6
another 1
are 2
arena 1
arrius 1
as 4
assassinate 1
assassination 1
auriane 6
author 1
based 1
begins 1
betrayed 1
by 2
captured 1
carry 1
character 2
chattian 2
check 1
circumstances 1
colosseum 1
compel 1
conclusion 1
condemns 1
confidence 1
contemporaries 1
contemporary 1
corrupt 1
daughter 1
death 1
discovers 1
domitian 5
dwarfs 1
emperor 4
fathers 1
fictional 2
fond 1
for 1
gap 1
gladiatorial 1
government 1
has 1
he 2
helvidius 1
her 2
here 2
highest 1
his 3
history 1
humanist 1
imperial 1
in 8
increasingly 1
inserted 1
interference 1
into 2
is 2
its 1
julianus 4
lead 1
leader 1
left 1
life 1
loosely 1
man 1
maneuvering 1
marcus 2
much 1
murderous 1
must 1
nero 1
oath 1
of 8
on 1
orchestrates 1
out 1
outspokenness 1
people 1
philosopher 2
pinnacles 1
pitting 1
plot 2
political 1
praised 1
priscus 1
protagonists 1
protogermanic 1
public 1
reaches 1
reign 2
retinue 1
rite 1
roman 2
rome 2
romes 1
rushes 1
school 1
senator 1
seneca 1
statesman 1
stoic 2
strives 1
suetonius 1
take 1
taken 2
terror 1
the 16
through 1
to 7
tribal 2
tribesman 1
tribeswoman 1
untimely 1
vengeance 1
war 3
warriors 1
was 1
well 1
where 1
whims 1
who 2
whose 1
women 1
