22094583
/m/05p9sgk
/m/05p9sgk
Doris Lessing

{"/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 15
able 1
adult 1
after 1
ages 1
and 11
aquatic 1
as 3
asexually 1
babies 1
beginning 1
beginnings 1
beneficent 1
birth 2
born 1
boy 1
boys 1
brought 1
but 1
by 6
called 1
calm 1
came 1
carried 1
caused 1
child 2
children 1
cleft 2
clefts 6
contact 1
day 2
decided 1
deemed 1
deer 1
deposit 1
die 1
documents 1
down 2
dubbed 1
during 1
dying 1
each 1
eagles 2
emerged 1
emperor 1
feared 1
female 2
females 3
fend 1
few 1
fissure 1
fled 1
for 1
fright 1
from 1
gave 2
gradually 1
grew 1
had 2
he 1
her 1
historian 1
histories 1
history 1
however 1
humanity 2
in 3
into 1
is 1
kill 1
killed 1
later 1
left 1
lived 2
made 1
male 1
matriarchs 1
men 1
mixed 1
monster 1
monsters 2
months 1
more 2
narrated 1
nearby 2
nero 1
new 1
nine 1
now 1
of 6
off 2
older 1
on 1
one 2
oral 1
other 1
over 1
partially 1
passed 1
pieced 1
problems 1
race 1
raped 1
reproduced 1
resemblance 1
rest 1
rock 2
roman 1
sacred 1
saw 1
scraps 1
sea 1
secret 1
she 2
solely 1
soon 2
story 3
such 1
suckled 1
swooped 1
tells 1
that 1
the 25
them 4
themselves 2
then 1
these 1
they 3
this 1
through 1
time 1
to 11
together 1
told 1
tribe 1
tribes 1
try 1
two 1
up 1
vagina 1
valley 2
wandered 1
was 3
were 5
what 1
when 1
where 1
which 3
who 1
with 1
