193041
/m/01bdv_
/m/01bdv_
Isaac Asimov
1950
50000 1
a 21
abilities 4
ability 2
able 1
accident 1
affret 1
against 1
age 1
along 1
also 3
although 1
among 1
amounts 1
an 1
and 12
anyone 2
apparent 1
archaeologist 1
are 3
areas 2
arsenal 1
arvardan 1
as 4
asimov 1
at 2
avenge 1
be 3
been 1
bel 1
believe 1
bombing 1
book 1
boosted 1
bring 1
but 2
by 9
can 2
captured 1
case 1
cause 1
changes 1
character 1
chicago 1
communicate 1
contributions 1
couple 1
created 1
current 1
daughter 1
deadly 1
deficient 1
described 1
developed 1
device 1
discriminated 1
does 1
domed 1
down 1
due 1
earth 5
earthcentered 1
earthlings 1
empire 4
ends 1
escape 1
estimate 1
euthanized 1
exceptions 1
executed 1
exists 1
experimental 1
fact 1
fanatics 1
far 1
farm 1
few 1
figure 1
finds 2
for 5
franca 1
from 1
frowned 1
future 3
galactic 3
galaxy 1
garrison 2
given 1
group 1
has 6
have 2
he 8
help 1
high 1
him 3
himalayas 1
himself 1
his 5
hopeful 1
huge 1
imperial 1
in 12
including 1
increase 1
inhabitants 1
injuring 1
instantaneously 1
into 4
is 13
it 3
joseph 2
kill 2
killed 1
killing 1
known 1
laboratory 1
language 1
large 3
later 1
learn 1
legally 1
lingua 1
lives 2
made 1
mainly 1
mdash 3
means 1
mental 4
mentally 1
military 1
mistake 2
must 1
narrowly 1
nearby 1
never 1
new 3
not 1
note 1
now 1
nuclear 1
of 15
offer 1
old 1
on 1
one 1
or 2
other 1
part 1
past 1
people 2
perhaps 1
person 2
persuaded 1
pilot 1
place 1
plan 2
planet 3
point 1
poisoning 1
pola 1
poor 1
powers 1
practice 1
problem 1
procedure 4
procurator 1
project 1
provoke 1
quickly 1
radiation 1
radioactive 1
reach 1
realizes 1
really 1
rebelled 1
rebellious 1
rebels 1
recognize 1
release 1
religious 1
required 1
resident 1
rest 2
restore 1
retconned 1
retired 1
ruled 1
schwartz 6
scientist 1
secretly 1
seen 1
several 2
shekt 2
significant 1
site 1
sixty 2
sixtytwo 1
slowly 1
society 1
soil 1
speak 1
spoken 1
stop 1
street 1
strong 1
subject 1
subjects 1
subjugate 1
superiority 1
supervirus 2
tailor 1
taken 1
telepathic 1
tens 1
that 7
the 43
their 1
themselves 1
there 1
they 7
things 1
this 2
thoughts 1
thousands 1
three 1
time 1
times 1
to 18
town 1
transported 1
trantorian 1
treated 1
ultimate 1
unable 2
uncontaminated 1
uninhabitable 1
unwitting 1
upon 1
use 1
uses 1
very 2
victim 1
virus 2
visiting 1
walking 1
wanders 1
way 1
when 1
where 1
which 2
while 1
who 6
widely 1
with 6
work 1
works 2
years 3
