989056
/m/03x2c7
/m/03x2c7
Thomas Hardy
1871
a 7
accept 2
adclyffe 2
aeneas 1
after 1
aldclyffe 1
alive 1
almost 1
already 1
an 2
and 7
apparently 1
architect 1
argument 2
as 2
attempts 1
be 1
been 2
before 1
being 1
believed 1
brother 2
brought 1
but 5
by 3
caught 1
cell 1
claiming 1
climax 1
come 1
commits 1
cytherea 6
desperate 1
did 1
discovery 1
does 1
drive 1
eccentric 1
edward 5
emerges 2
engaged 1
father 1
fire 2
first 2
flee 1
for 1
forced 1
go 1
graye 1
had 6
hand 1
have 1
he 2
heard 1
her 2
him 1
his 5
however 1
if 1
illegitimate 1
immediately 1
imposter 2
in 6
inn 2
is 6
it 3
kidnap 1
killed 1
lady 1
later 1
left 2
live 1
local 1
love 1
loved 1
loves 1
machinations 1
maid 1
manston 6
marriage 1
marry 2
miss 3
mrs 1
murder 2
need 1
not 3
novel 1
nullified 1
of 2
perished 1
planned 1
poacher 1
police 1
post 1
poverty 1
prevent 1
prosecuted 1
rector 1
remedies 1
returns 1
seen 1
she 1
sick 1
son 1
springrove 1
stopped 1
suicide 1
support 1
suspect 1
suspected 1
that 4
the 13
their 1
to 14
turn 1
unable 1
up 1
urgent 1
when 1
who 1
whom 2
whose 1
wife 5
with 1
woman 4
young 2
