3603699
/m/09pb37
/m/09pb37
Christopher Golden
1999-11
a 5
about 1
after 1
all 1
and 4
angel 1
appear 1
appearance 2
appears 1
as 6
at 1
be 1
been 1
being 1
blaisdell 2
boyfriend 1
buffy 5
but 2
by 1
care 1
catch 1
come 1
confusion 1
consciousness 1
creating 1
dating 1
dead 1
deal 1
demon 3
doesnt 1
everyone 1
feelings 1
for 3
friend 1
from 3
giles 3
grayhewn 1
had 2
has 1
hasnt 1
he 2
hemery 1
her 4
herself 1
high 1
him 1
his 3
in 4
is 1
it 2
killed 2
known 1
la 1
love 1
make 1
makes 2
man 2
mate 1
meanwhile 1
miss 2
more 1
most 1
much 1
named 1
new 1
nothing 2
now 1
of 1
old 2
only 1
or 1
originally 1
out 2
painful 1
painfully 1
particularly 1
past 2
personal 1
pike 6
possible 1
pursued 1
rock 1
seeing 1
seems 1
shock 1
since 1
soon 1
struggles 2
suffer 1
sunnydale 1
surprise 1
teacher 1
than 1
the 5
though 1
to 7
torture 1
turns 1
up 1
very 1
wants 2
watcher 1
waver 1
way 1
well 1
who 1
with 2
within 1
working 1
