1495657
/m/055w6t
/m/055w6t
William Sleator

a 18
abandons 1
about 1
alien 2
aliens 2
alive 1
all 1
although 1
always 2
amazed 1
an 2
and 16
another 1
anything 1
appreciated 1
approach 1
arachnoid 1
arouse 1
as 6
at 1
backwards 1
bag 1
barney 13
be 3
became 1
bedroom 2
been 1
before 2
begins 1
belonging 1
blown 1
board 2
both 1
boulder 1
box 1
bribe 1
briefs 1
brother 4
brutal 1
built 1
but 2
by 3
captain 5
card 1
cards 2
carnivorous 1
carved 1
caused 1
centered 1
character 2
chooses 1
choosing 1
cinderblock 1
clinging 1
clings 1
clock 1
clung 1
code 1
concludes 1
concocts 1
contusion 1
convincingly 1
corpse 1
cottage 2
could 1
crazy 1
created 2
crude 1
damage 1
damaged 1
decides 2
depart 1
depicting 1
deprivation 1
descend 1
described 1
despite 1
destroyed 1
detonate 1
devil 1
different 1
discovery 1
disguisewill 1
do 1
doing 1
done 1
door 1
down 1
drawer 1
drawing 1
due 2
each 2
earth 1
either 1
enough 1
entered 1
equipment 1
event 1
every 2
except 1
exists 1
exotic 1
explanation 1
eye 2
face 2
fascination 1
favorable 1
favorite 1
filmed 1
find 1
finds 2
finish 1
floating 1
forehead 1
from 4
game 6
gaping 1
gas 1
get 1
glamorous 1
go 2
greenish 1
grows 1
had 4
hand 1
has 1
having 1
he 12
he3s 1
hiccups 1
hidden 1
hide 1
him 3
himmdashand 1
his 12
holder 1
home 3
horde 1
house 1
however 1
human 1
hurries 1
idiocy 1
if 1
in 10
incentive 1
inconsistency 1
insisting 1
interstellar 2
into 2
intrigued 1
introduces 1
irsc 1
is 13
island 1
it 9
its 1
joe 2
jrlb 1
judgement 1
just 1
keelhauled 1
keep 1
key 1
lanthammdashthe 1
later 1
learn 1
leathery 1
lets 1
lichen 3
life 1
lifestyle 1
link 1
locked 1
logical 1
loved 1
lower 1
made 1
makes 2
man 3
manny 2
manuscript 1
marks 1
mind 1
minutes 1
mouth 2
move 1
moyna 1
murdered 1
nearby 1
neighbors 1
neighborsaliens 1
new 1
next 1
night 1
no 1
noseless 1
nothing 1
numbers 1
nymph 1
object 2
objective 1
obliterated 1
ocean 1
octopuslike 1
of 11
off 2
on 5
once 1
one 1
only 2
or 1
order 1
other 1
out 2
own 1
oxygen 1
parents 1
paris 1
particular 1
pass 1
pastime 1
pattern 1
patterns 1
people 1
picks 3
pig 1
piggy 11
piggy3s 1
placid 1
plan 1
planet 1
planets 1
player 3
players 1
possessor 1
psychic 1
pulled 1
punishment 1
quickly 1
race 2
real 2
realizes 2
relative 1
remembering 1
rentingmdashtelling 1
repeatedly 1
repellent 1
representing 1
reptilian 1
rescued 1
rest 1
rigid 1
rock 1
room 1
round 1
rules 1
running 1
runs 1
same 3
sapience 1
sawed 1
scratches 1
scratching 1
sea 1
see 2
seemed 1
select 1
sense 1
shares 1
side 1
silver 1
similar 1
single 1
slightly 1
slime 1
small 1
smiling 2
snooping 1
so 4
solar 1
solitary 1
spaceship 1
spends 1
startling 1
still 1
stories 1
story 1
strange 1
strangles 1
strengths 1
such 1
sunburn 1
surrounding 1
survives 1
suspicion 1
swollen 1
systems 1
taken 1
tells 2
tendency 1
that 16
the 64
their 6
them 1
there 2
they 2
thing 1
this 1
through 1
time 3
to 25
tries 1
trinket 3
turns 1
under 2
underwear 1
unfortunately 1
unique 1
up 1
version 1
walls 2
was 4
water 1
waterbreathing 1
weaknesses 1
weapons 1
were 1
when 5
where 1
which 4
while 1
who 1
whole 1
wideopen 1
will 2
with 6
won3t 1
wooden 1
written 1
wrongness 1
yellow 1
zena 5
zulma 1
