14176990
/m/03cw_09
/m/03cw_09
Lucy Maud Montgomery
1913
{"/m/0dwly": "Children's literature"}
a 3
able 3
adult 1
adventures 1
after 1
again 1
also 2
and 9
are 3
around 1
as 2
based 1
be 1
beginnings 1
between 2
beverley 1
beverly 3
brother 1
build 1
but 1
called 1
cecily 3
character 2
chemistry 1
childhood 2
children 2
collects 1
complete 1
confirms 1
consumptive 1
cousin 1
cousins 1
creating 1
dan 1
days 1
development 1
drawn 1
each 1
education 1
ends 1
even 1
family 1
father 1
felicity 3
felix 1
forever 1
friends 1
futures 1
girl 2
give 1
golden 2
group 1
grow 1
had 1
her 2
hinted 1
hints 1
hiredboy 1
his 2
in 5
is 6
it 2
its 1
leave 1
left 2
magazine 1
many 1
married 1
more 1
neighbor 1
never 2
newspaper 1
novel 2
of 2
often 1
orchard 1
other 1
our 1
own 1
particular 1
passage 1
peter 3
place 1
played 1
plot 1
predecessor 1
proper 1
ray 1
reader 1
relationship 1
remembers 1
road 2
sara 5
see 1
seems 1
she 1
small 1
stanley 3
starts 1
story 3
strongly 1
takes 1
tells 1
than 1
that 4
the 13
their 4
them 1
they 2
this 2
throughout 1
to 6
undeveloped 1
up 1
watch 2
well 1
where 1
who 1
will 1
with 1
