7006552
/m/0g_z8b
/m/0g_z8b
Hilari Bell

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 3
alien 1
altered 1
an 1
and 2
are 1
becoming 1
believes 1
children 1
code 1
cure 1
disease 1
dna 1
faced 1
for 2
found 1
from 1
generations 1
genetic 1
has 2
however 2
human 1
humans 1
impending 1
invasion 1
irene 1
is 2
known 1
must 1
navohar 1
no 1
of 1
olsen 1
on 1
outer 1
pitfalls 1
planet 1
population 1
protect 1
race 1
save 1
scientist 1
scientists 1
searched 1
she 2
space 1
stricken 1
suitable 1
the 3
them 1
there 1
these 1
to 2
unaltered 1
unexpected 1
which 1
with 3
work 1
