20797033
/m/058092k
/m/058092k
Margaret Haddix
2008-04
36 1
a 16
about 2
addresses 1
adopted 2
adoptees 2
adoption 3
adults 4
advertising 1
after 3
afterwards 1
agency 1
agent 1
air 1
airplane 1
airport 1
alex 2
all 5
along 1
also 2
an 7
and 36
angela 6
another 3
appear 1
appeared 1
appears 2
are 7
arms 1
arrives 1
as 4
ask 1
asks 1
at 5
attacks 1
babies 8
back 4
backwards 1
bathroom 3
be 3
been 1
before 2
begin 1
beginning 1
behind 1
best 1
beware 1
birth 2
bottle 1
boy 1
breaks 1
bring 1
bubonic 1
burning 1
but 3
by 4
call 1
called 2
calling 1
can 2
caused 1
cave 2
century 3
chased 1
children 1
chip 11
chips 1
coming 1
computer 1
conference 2
contact 1
convince 1
country 2
crash 1
dad 1
daniella 1
dead 1
decide 1
dedicated 1
deleted 1
deported 1
desk 1
dew 2
die 1
disappearances 1
disappeared 1
disappears 2
distant 1
distracts 1
divided 1
documents 1
dupre 3
during 1
else 1
escape 1
everyone 2
exist 1
falling 1
famous 1
fbi 4
fifteenth 1
figure 1
file 1
finally 3
find 4
first 1
flyer 1
flying 1
for 5
foreign 1
friend 1
from 7
full 1
future 3
gary 4
get 4
girl 1
gives 1
go 2
goes 1
got 3
grab 1
greedy 1
group 2
groups 1
had 1
happening 1
have 1
he 7
help 1
her 1
him 3
his 7
history 1
hodge 4
hollow 1
home 2
houses 1
however 1
hung 1
if 1
illegally 1
in 11
includes 1
including 2
information 2
interchronological 1
into 8
is 4
it 4
james 4
janitor 4
jb 5
joke 1
jonah 18
katherine 9
kids 4
kind 1
later 1
learns 1
leaving 1
led 1
left 1
let 2
letter 1
letters 3
library 3
list 1
lists 1
live 1
load 1
mail 1
man 1
manages 1
many 1
mccarthy 1
meet 4
memorize 1
men 1
might 1
missing 1
mom 1
more 4
most 1
mountain 2
mr 2
name 2
named 4
names 3
nicknamed 1
noticed 1
nowhere 2
number 1
numbers 2
of 14
on 4
one 2
only 1
organization 3
originally 1
out 7
parent 1
parents 6
people 1
person 1
persuades 1
phone 2
pictures 1
place 1
plague 1
plane 3
possible 1
pretends 1
promptly 1
putting 1
really 1
reardon 4
receive 2
receives 1
refuses 1
removed 1
repair 1
rescue 1
rescuing 1
researching 1
right 2
room 2
safe 1
say 1
see 1
send 1
sends 1
several 1
she 4
shortly 1
sister 1
so 1
some 1
soon 3
speculates 1
started 1
stays 1
story 1
such 1
tackled 1
take 2
takes 1
taking 2
talk 2
talked 1
teen 1
teenagers 1
tell 2
telling 1
tells 5
thanks 1
that 8
the 57
their 2
them 10
themselves 1
then 2
there 1
these 1
they 15
theyre 1
thin 1
things 1
though 1
through 2
throw 1
time 6
to 36
toddlers 1
too 2
transported 1
trapped 1
travelers 1
traveling 1
turn 2
turned 1
turning 1
turns 1
twentyfirst 2
two 2
unknown 1
until 1
up 3
used 1
vicinity 1
want 1
wants 1
was 2
way 2
were 5
when 5
while 2
who 6
whom 1
whose 1
why 1
window 1
winston 1
with 3
woman 1
wonder 1
woods 1
work 2
would 1
you 2
younger 1
