4227671
/m/0br19t
/m/0br19t
Tove Jansson
1954
a 12
about 1
accidentally 1
adopt 1
adventurous 1
again 1
aground 1
all 2
alone 1
also 1
and 17
are 1
arrested 2
as 2
away 1
believe 1
big 1
building 1
burning 1
but 1
by 2
cajole 1
causes 1
coincidence 1
coincidences 1
collapsing 1
continue 1
costumes 1
cousin 2
deceased 1
decide 2
deserted 1
do 1
down 1
drifts 1
electric 1
else 1
emma 3
ends 1
escaping 1
everyone 2
explains 1
falls 1
family 2
father 1
fills 1
fillyjonk 2
find 2
finds 1
floated 1
floating 1
flood 2
floods 1
for 1
found 1
free 1
friend 1
friends 1
get 1
gets 1
go 3
grass 1
grumpy 1
guard 1
has 2
hattifatteners 1
have 1
he 2
heads 1
helps 1
hemulen 1
him 1
his 1
home 1
house 2
husbands 1
immediately 1
in 2
innocence 1
into 2
is 6
it 3
itself 1
keeper 1
lawns 1
leaves 1
lets 1
little 1
lives 1
maiden 3
massive 1
meanwhile 2
meet 1
moomin 1
moominpappa 1
moomins 1
moomintroll 3
moominvalley 1
moonmintroll 1
morning 1
my 1
nearby 1
next 1
niece 1
not 2
notices 1
of 1
off 2
on 3
out 1
overboard 1
park 1
party 1
past 1
persuaded 1
play 5
playbill 2
prisoners 1
props 1
realise 1
recede 1
rescued 1
residence 1
reunion 1
reunited 1
revenge 1
scenery 1
see 1
seek 1
sets 1
setting 1
signs 1
sleep 1
small 1
snork 3
snufkin 3
some 1
someone 1
stage 2
start 1
strange 1
take 1
taking 1
tears 1
that 2
the 27
theatre 5
their 3
them 2
there 2
they 5
three 1
to 11
too 1
tore 1
tree 1
twentyfour 1
understand 1
until 1
up 3
volcano 1
wake 1
walk 1
wave 1
when 2
where 1
while 2
who 4
with 1
woodies 2
write 1
