4366529
/m/0bzfsb
/m/0bzfsb
Arthur Ransome
1937
{"/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel"}
a 7
aboard 2
about 2
absent 2
after 3
against 1
agree 1
agrees 1
also 1
amazons 1
among 1
an 3
anchor 3
anchored 1
and 12
any 1
approaching 1
are 4
arrival 1
arrive 1
arriving 1
as 3
ashore 1
asked 1
at 5
attempting 1
back 1
bank 1
beach 2
because 1
been 1
before 1
being 3
beyond 1
boat 2
brading 2
buoy 2
bus 1
but 4
by 2
calm 1
can 1
captain 1
chain 2
children 1
china 1
claim 1
coast 1
collision 1
concussion 1
conditions 3
continue 1
crew 1
csnechtli 1
cutter 1
dawn 1
days 1
decides 1
dinghy 1
do 2
does 1
down 2
drag 1
drifting 2
drifts 2
during 1
dutch 1
east 1
eastward 1
end 2
engine 1
england 1
estuary 2
expected 1
farther 1
father 3
ferry 3
fill 1
find 2
flushing 1
fog 3
for 5
from 3
given 1
go 2
goblin 7
had 2
harwich 2
has 2
hazardous 1
he 3
hearing 1
help 3
her 2
his 3
hoist 1
holland 1
hong 1
hospital 1
hours 1
however 1
if 1
imminent 1
imp 1
imposed 1
impossible 1
in 12
into 1
invites 1
involved 1
is 8
it 3
its 1
jim 5
john 3
jsme 1
kong 1
last 1
later 1
leaves 1
leaving 1
lee 1
lights 1
longshore 1
looking 1
loses 1
malta 1
might 1
missee 1
misses 1
missing 1
moe 1
moor 1
more 1
morning 2
mother 2
motor 1
mouth 1
na 1
navigation 1
navy 1
near 1
nearest 1
nearly 1
netherlands 1
next 1
night 3
north 1
not 3
now 1
of 10
on 3
orders 1
orwell 1
out 6
over 1
overland 1
overseas 1
paraffin 1
pass 1
persuades 1
petrol 1
pick 1
pilot 2
port 1
posting 1
provided 1
put 2
rather 2
realise 1
return 5
returns 1
reunited 1
risen 1
risk 1
river 3
rivers 2
rows 1
run 2
runs 1
safely 1
safer 1
sail 2
sailing 2
sails 2
salvage 1
same 1
sandbanks 1
sea 3
second 1
see 1
sharks 1
ship 1
shoals 1
shore 1
short 1
skipper 1
so 2
some 2
southern 1
stated 1
stay 2
stour 1
suffering 1
susan 1
swallows 1
ted 1
than 2
that 4
the 48
their 4
them 3
themselves 1
these 2
they 6
through 1
tide 1
time 3
to 16
too 1
travelling 1
trying 1
two 1
uncle 1
unconscious 1
under 1
unexpected 1
unknown 1
up 1
used 1
walker 1
walkers 2
warned 1
was 3
when 1
while 1
who 4
wind 2
with 6
within 1
without 1
wrecked 1
yacht 2
