12416807
/m/02w4frx
/m/02w4frx
Alistair MacLean
1974
{"/m/01jfsb": "Thriller", "/m/0hfjk": "Western", "/m/05hgj": "Novel"}
1870s 1
a 5
aboard 1
accompanying 1
agent 1
aide 1
all 1
along 1
also 1
and 7
are 5
army 1
as 2
bad 1
been 1
begins 1
blizzard 1
buddy 1
by 1
carloads 1
cavalry 1
characters 2
cholera 1
claremont 1
colonel 1
continues 1
cunningly 1
dangerous 1
deakin 1
decimated 1
deep 1
defining 1
destination 1
devious 1
disease 1
down 1
dr 1
epidemic 1
exactly 1
expert 1
fairchild 1
finally 1
fort 1
good 1
governor 2
group 1
gunman 1
guys 1
have 1
his 1
humboldt 1
in 3
indian 1
is 6
it 1
john 1
joining 1
journey 2
lawman 1
learn 1
lines 1
maclean 1
major 1
marica 1
marshal 1
meticulously 1
midst 1
molyneaux 1
mountains 1
murderer 1
nature 1
nevada 3
niece 1
none 1
not 1
obliterates 1
obrien 1
of 4
old 1
pearce 3
perilous 1
plan 1
railroad 1
recently 1
remote 1
revealed 1
seems 1
slowly 1
story 2
telling 1
territory 1
that 2
the 18
their 1
them 1
through 1
train 1
transporting 1
troops 2
tropical 1
truth 1
two 1
us 2
we 1
what 1
which 2
whole 1
whose 1
winds 1
winter 1
with 2
