5111971
/m/0d34_f
/m/0d34_f


{"/m/06c9r": "Role-playing game"}
a 2
add 1
adventure 1
adventures 1
amiss 1
an 1
and 7
are 4
arrive 1
being 1
between 1
border 1
by 1
caves 1
challenging 1
characters 4
cult 3
details 1
distant 1
dungeon 2
early 1
evil 1
featuring 1
find 2
flanaess 1
friendly 1
gran 1
guarded 1
have 2
in 3
is 3
it 1
keoland 1
kingdom 1
leads 1
march 1
met 1
mixed 1
modules 1
most 1
mystery 1
of 4
on 1
one 1
orlane 2
others 1
out 1
place 1
plagued 1
player 1
reactions 1
realize 1
scenario 1
some 2
something 1
stop 1
suspcious 1
takes 1
that 3
the 17
they 2
to 3
towards 1
town 1
very 1
village 2
villagers 1
western 1
what 1
where 1
whereas 1
wilderness 1
with 1
