2214517
/m/06whhb
/m/06whhb
Iris Murdoch
1964
a 9
act 1
actual 1
actually 1
affair 2
affairs 1
after 3
against 1
agrees 1
all 3
allows 1
almost 1
aloof 1
always 2
an 3
and 31
announces 1
anodyne 1
another 1
apparently 1
apprentice 1
as 2
assistance 1
astonishment 1
at 4
attempts 1
aware 1
away 1
be 1
been 4
begin 1
beneficiary 1
between 1
book 1
both 1
brother 2
by 8
car 1
case 1
cathartic 1
character 2
civilised 1
climax 1
closes 1
confessions 1
confides 1
contemptible 1
contradictorily 1
conveniently 1
covered 1
cremation 1
crest 1
cuts 1
damage 1
daughter 2
david 9
death 1
deceased 1
delicto 1
departs 1
despair 1
detects 1
devilish 1
dies 1
different 1
discoveries 1
discovers 1
disgust 1
disgusted 1
drunk 1
during 1
each 6
ecret 1
edmund 15
effect 1
elsa 5
else 1
england 1
enveigle 1
equally 1
events 1
ever 1
everyone 2
evidence 1
evident 1
excuse 1
exposs 1
family 1
farcical 1
fascinated 1
father 1
figure 1
finally 1
finds 2
fire 3
first 4
flagrante 1
flora 6
for 7
from 1
frustrated 1
funeral 1
generously 1
get 1
getting 1
giggling 1
girl 1
gives 1
had 3
has 4
have 4
having 2
he 6
help 1
helpless 1
her 5
herself 1
highly 1
him 4
himself 2
his 7
home 2
honestly 1
house 4
if 1
immediately 1
implore 1
impotence 1
in 12
incidentally 1
independence 1
inheritance 1
instructions 1
insurance 1
integral 1
involve 1
involved 2
is 11
isabel 4
it 3
italian 1
joyfully 1
keep 1
last 1
later 1
learnt 1
leaves 1
leaving 1
led 1
lesbian 1
levkin 3
life 1
look 1
love 2
lydia 3
made 1
maggie 2
magistretti 1
make 1
manages 1
maria 2
mature 1
means 1
midway 1
misery 1
more 1
mother 2
name 1
narraway 1
neurotic 1
niece 1
north 1
not 1
now 4
nursemaid 1
of 9
old 1
on 2
one 2
only 1
or 1
other 2
otto 14
outside 1
own 2
packing 1
part 1
perhaps 2
pregnant 3
preparing 1
preposterous 1
probably 1
problem 1
prone 1
ran 1
rather 2
reacts 1
real 1
reason 2
recently 1
reconciled 1
rectory 1
redemption 1
refuses 1
relationships 1
reluctant 1
rely 1
respectfully 1
respectively 1
response 1
returns 2
revealed 1
rome 1
saw 1
scandalised 1
seeing 1
seem 2
seems 2
selfpitying 1
send 1
series 1
service 2
setting 1
sexual 1
sexually 2
she 7
similarly 1
since 1
sister 1
slightly 1
small 1
so 1
sole 1
solution 1
somewhat 1
split 1
starts 1
stay 2
story 1
student 1
surprising 1
survives 1
taken 1
talk 1
talks 1
teenager 1
tension 1
than 1
that 4
the 19
their 3
them 2
these 1
this 2
though 1
through 1
time 2
to 23
too 1
towards 1
transpires 1
travel 1
troubles 1
turn 1
unexpected 1
untempted 1
vituperative 1
was 1
wave 1
we 1
when 1
who 5
whose 1
wife 1
will 1
with 7
yet 1
