11047504
/m/02qz64v
/m/02qz64v
Melissa Müller
1998
{"/m/017fp": "Biography"}
12 2
133 1
140 1
a 2
after 1
afterword 1
all 1
am 1
an 2
and 5
anne 4
another 1
are 1
arounds 1
as 1
at 1
back 1
beliefs 1
betrayed 1
book 1
born 1
boys 1
building 1
business 1
by 1
camps 1
centered 1
changes 1
class 1
concentration 1
describing 1
diary 1
early 1
emigrates 1
ends 1
enjoys 1
everyday 1
exception 1
faithfully 1
family 5
father 1
feels 1
forced 1
frank 2
frankfurt 1
germany 2
gies 1
go 1
her 2
hid 1
hiding 1
hitler 1
however 1
idyllic 1
in 3
into 1
invades 1
is 1
jewish 1
june 1
keeps 1
life 1
main 1
may 1
middle 1
miep 1
month 1
nazism 1
netherlands 2
of 4
on 1
once 1
one 2
otto 1
perish 1
power 1
quickly 1
rises 1
school 1
sent 1
situation 1
situations 1
sleepovers 1
soon 2
the 10
them 1
there 1
they 2
thoughts 1
threats 1
to 5
two 1
where 2
while 1
who 1
with 3
women 1
years 1
