30172765
/m/0g596j5
/m/0g596j5
José Rizal
1879
a 1
and 2
are 1
as 2
band 1
beautiful 1
bella 1
benefits 1
bestowed 1
breath 1
brought 2
build 1
by 1
charming 1
crown 1
de 1
depicted 1
education 2
esperanza 1
eternal 1
explorers 1
filipino 1
frequently 1
future 1
generals 1
genius 1
had 4
hand 1
having 1
he 2
his 1
hope 1
however 1
in 3
indian 1
instilling 1
is 1
it 1
kings 1
la 1
land 1
life 1
light 1
making 1
manner 1
mia 1
most 1
motherland 1
of 7
offered 1
offers 1
one 1
patria 1
patriotic 1
philippines 2
pictured 1
pious 1
poem 2
praises 1
prodigious 1
protagonists 1
renowned 1
resplendent 1
rizal 2
sons 1
spain 3
spanish 2
splendor 1
teachers 1
that 2
the 15
this 2
to 3
upon 1
use 1
virtue 1
was 1
who 1
whose 1
wise 1
with 1
written 1
youth 1
