3603701
/m/09pb3l
/m/09pb3l
Nancy Holder
1998-10
a 4
about 1
after 1
against 2
agrees 1
all 1
also 2
an 1
and 12
angel 2
are 1
as 2
assemble 1
at 1
attack 2
attackers 1
attacks 1
away 2
basement 1
be 2
because 1
been 3
before 1
begin 1
beings 1
biting 1
bound 1
boy 1
buffy 8
but 1
by 7
called 1
can 1
claim 1
clear 1
comes 1
completely 1
continuously 1
couple 1
creatures 1
decides 1
discover 1
disgusted 1
does 1
either 1
enough 1
erl 4
even 1
everything 1
evil 1
faire 3
fight 2
final 1
find 1
for 1
forced 1
forest 1
free 1
friend 1
friends 1
from 1
fun 1
gang 3
giles 2
group 1
has 1
have 3
heir 1
her 6
hides 1
him 2
his 1
home 1
humans 1
hunt 8
if 1
in 7
informs 1
is 8
it 2
kidnapped 1
kids 1
kill 1
king 4
lately 1
learn 1
life 1
little 1
lives 1
look 1
lord 1
loses 1
magical 1
magickal 1
missing 1
must 1
mutilate 1
mystical 1
named 1
nasty 1
next 1
night 2
no 1
not 2
oath 2
of 9
off 1
on 3
one 2
order 1
ordered 1
others 1
out 1
pay 1
people 1
picked 1
prey 1
renaissance 1
rescue 1
research 1
ride 1
roland 8
run 2
runins 1
rush 1
save 2
seem 1
seems 1
she 4
simply 1
slightly 1
small 1
some 3
something 1
son 1
soul 1
souls 1
steal 1
stolen 1
sunnydale 2
that 4
the 24
their 3
them 2
there 1
they 2
this 1
though 2
through 1
title 1
to 16
town 3
use 1
vicious 1
victims 1
visit 2
warns 1
well 1
which 1
while 1
wild 5
will 2
willpower 1
with 2
without 1
