15120912
/m/03hj4j9
/m/03hj4j9
Dennis Lehane
2003-04-15
154 1
3 1
66 1
67th 1
a 13
abilities 1
actually 1
administrator 1
after 2
ago 2
allegedly 1
allow 1
also 1
an 3
anagram 2
and 18
andrew 3
andrewteddy 4
apparently 1
approach 1
are 4
area 1
arent 1
as 4
ashecliffe 1
at 2
aule 1
avenge 1
avoid 1
be 2
been 2
being 1
believe 1
believes 4
boat 1
breakthrough 1
but 1
by 1
c 1
cannot 1
careful 1
caves 1
cawley 6
cell 1
chanal 1
children 1
chuck 10
chuckdr 1
chucksheehan 4
cigarettes 1
code 1
conducted 1
confront 1
conscious 1
constant 1
criminally 1
dachau 1
daniels 2
death 1
descriptions 1
desk 1
desolate 1
despite 1
devised 1
die 1
disappearance 1
discover 1
discovers 1
disprove 1
dolores 2
dont 1
dorm 1
dr 6
drugs 2
edward 2
elaborate 1
else 1
ending 1
enters 1
escaped 1
escapes 1
even 1
experiments 2
explains 1
expsychiatrist 1
extreme 1
fantasy 1
ferry 1
finally 1
find 1
finds 1
firearm 1
food 1
for 4
friends 1
go 1
government 1
grabbing 1
graphic 1
guards 1
gun 1
had 1
has 4
have 2
having 1
he 19
helped 1
hiding 1
him 3
himself 1
his 11
hits 1
home 1
hospital 6
hurricane 1
i 1
if 1
ii 1
in 5
inmate 1
inmates 1
insane 1
interspersed 1
investigate 2
is 17
island 4
it 2
kept 1
killed 1
know 1
knowledge 1
laced 1
laeddis 2
least 1
leaves 1
liberate 1
lighthouse 2
live 1
living 1
lobotomy 2
locked 1
long 1
lose 1
main 1
makes 1
man 1
marshal 2
measures 1
medication 1
merely 1
morning 1
murdered 3
murderer 1
nah 1
new 1
next 2
no 2
not 1
novel 2
of 9
on 3
one 2
only 2
onto 1
or 2
order 2
orderlies 1
out 1
outside 1
partner 2
patient 2
pistol 1
place 1
points 1
prior 1
prisoner 1
promising 1
psychiatrist 1
psychotropic 2
rachel 4
radical 1
reaches 1
real 1
reality 1
realizes 1
recovery 1
refuses 1
regressed 1
replies 1
rescue 1
return 1
returning 1
revealing 1
reveals 1
room 1
says 3
sea 1
seated 1
seems 1
separated 1
service 1
she 4
sheehan 2
shoot 1
shutter 1
signals 1
sits 2
smart 1
solando 3
steps 1
supervision 1
take 1
taken 1
takes 1
teddy 12
teddyandrew 1
tells 2
that 13
the 29
their 1
then 1
there 2
they 1
theyre 1
think 1
thinks 2
this 3
thought 1
through 1
time 1
to 25
told 2
too 1
top 1
toy 1
treatment 3
tries 1
true 1
truly 1
trusted 1
truth 1
two 2
unclear 2
under 1
undergo 1
unsuccessful 1
up 1
upon 1
us 3
very 1
visiting 1
wakes 1
war 1
ward 1
warns 1
was 3
water 1
way 1
we 2
were 1
what 1
when 1
where 2
whether 1
which 2
who 4
widower 1
wife 3
wishes 1
with 4
world 1
yeah 1
years 2
you 1
