14825386
/m/03gz6z3
/m/03gz6z3
Gavin Lyall
1982
10 1
a 7
action 1
after 1
agencies 1
among 1
and 4
are 3
army 1
asked 1
assigned 1
assist 2
assisting 1
awol 1
blagg 3
botched 1
both 1
british 2
by 2
colleague 1
consequences 1
corporal 1
darkest 1
days 1
deadly 1
deceit 1
democratic 1
described 1
detail 1
discovers 1
downing 1
efforts 1
fading 1
for 2
former 2
from 2
george 1
german 1
germany 1
gone 1
government 1
harbinger 1
harry 1
has 1
he 2
housing 1
however 1
humberside 1
ii 1
in 5
is 2
it 1
kill 1
leadership 1
london 1
looking 1
major 1
maxim 4
mi6 2
minister 1
most 1
number 1
of 4
offices 1
operation 1
port 1
preserve 1
prime 1
private 1
projects 1
republic 1
rich 1
ron 1
rural 1
sas 1
secret 1
secretary 1
service 1
settings 1
shadowy 1
small 1
so 1
soon 1
south 1
sovbloc 1
street 1
stymied 1
suspicion 1
that 2
the 9
they 1
threatening 1
to 6
town 2
uncovers 1
under 1
undercover 1
until 1
various 2
war 1
web 1
where 1
who 1
will 1
with 1
within 1
works 1
world 1
