4021422
/m/0bcyl7
/m/0bcyl7
Jacqueline Carey
2007-06-14
a 90
ability 1
able 3
about 4
accept 1
accepted 1
access 1
accompany 1
across 2
admits 2
advice 1
advisor 1
affair 2
after 13
afternoons 1
again 2
against 2
age 1
agreeing 1
agrees 3
alais 9
alba 13
alban 10
albans 5
alive 2
all 21
allow 1
allowed 1
allowing 1
alone 1
along 1
also 10
always 2
amarante 1
amaury 1
an 9
and 175
angel 1
angry 1
aniel 6
anielle 1
annual 1
another 2
answers 1
any 7
anything 2
apologizes 1
apparent 1
appears 2
approaching 1
approve 1
are 23
area 1
arguing 3
arguments 2
armbands 1
arms 1
around 4
arrangements 1
arrival 2
arrive 1
arrives 2
arriving 1
arts 1
as 31
asks 11
assist 1
assures 1
at 23
atonement 2
attacked 1
attackers 1
attendance 1
attracted 1
avatar 1
avenging 1
away 3
awful 1
azzalle 3
bachelor 1
back 16
bad 1
bag 2
balance 1
barely 1
battle 1
be 28
bear 3
beauty 1
because 10
become 2
bed 1
been 6
befall 1
before 14
beget 1
begging 1
begins 4
begs 1
behind 2
beidaia 1
being 7
believe 2
ben 1
benedicte 1
berlik 23
best 1
betterment 1
between 2
beyond 1
bindings 2
binds 1
birth 1
black 1
blood 1
blurry 1
boat 2
body 1
boiling 1
bond 1
book 1
books 1
born 2
both 1
bound 1
boy 2
briclaedh 2
bride 1
brigitta 1
bring 3
brings 1
broken 4
brooding 1
bryn 2
built 1
burning 1
burns 1
burst 1
bury 2
but 28
by 20
cabin 3
call 1
calls 1
calmed 1
calmly 1
came 1
can 10
candle 1
canis 1
cannot 4
capital 3
capture 1
careful 1
caring 1
carried 1
carrying 1
carved 1
cast 1
castle 2
casts 1
cattle 1
cattleraid 1
caused 1
causing 1
celebratory 1
ceremony 2
certainly 1
challenge 1
challenging 1
change 1
charges 2
cherished 1
chief 1
child 8
children 2
chooses 1
circle 10
city 6
civil 1
civilization 1
classes 1
claw 2
clawed 1
cleanly 1
clearheaded 1
clearly 1
closest 1
cloud 1
clunderry 10
coffers 1
come 6
comes 3
comfortable 1
comforting 1
coming 3
command 1
common 1
companion 1
company 1
comprehension 1
concerned 1
confesses 1
considerably 1
considered 3
continue 2
continues 3
continuing 1
control 2
could 3
countenance 1
counter 1
couple 2
courcel 2
court 1
cousin 2
cover 1
covering 1
crooniestone 3
cross 2
cruarch 2
cruel 2
crushing 1
cullach 2
cunning 1
custom 2
cut 2
cuts 4
dange 7
dangeline 6
dangelines 1
dangerous 1
daranga 1
daughter 3
dauphine 1
day 4
days 5
daze 1
de 2
dead 2
deal 2
dear 1
death 4
decide 2
decides 1
deciding 1
decision 3
declines 1
dedicated 2
dedicates 1
deemed 1
deep 2
deeper 1
delaunay 2
demands 1
denounce 1
depart 1
departs 5
departure 2
depression 1
despise 1
despite 3
destroy 1
dhonn 5
diadhanam 4
die 1
discourage 1
discourages 1
discovered 1
discuss 2
disguise 1
disgusting 1
distance 1
distracted 2
disturbed 1
do 6
does 11
done 1
doors 1
dorelei 30
down 5
drags 1
drinking 1
drinks 1
druidlike 1
drujan 1
drustan 7
due 1
during 6
each 5
eamonn 2
earned 1
earning 1
earns 1
earth 2
edge 1
edition 1
eerie 1
effect 1
effects 1
eighteen 2
eisandine 1
eisheth 1
elated 1
else 4
elsewhere 1
elua 4
emblem 1
emotions 3
end 1
ends 1
enough 5
ensnared 1
enter 1
escape 2
escort 5
especially 1
estates 1
even 4
evening 1
eventually 2
every 1
everyone 3
exactly 1
explain 1
extremely 1
eyelids 1
eyes 1
face 3
failure 1
fall 1
fallen 2
falling 1
falls 2
family 7
fantasizes 1
far 1
faraway 1
favor 1
fearless 1
fears 1
feast 1
feel 1
feeling 1
feelings 1
feels 6
feet 1
ferries 1
few 1
fight 2
figure 1
filled 4
final 1
finally 5
find 2
fire 1
first 9
flatlands 2
flaws 1
flees 1
flooding 1
flower 1
fodder 1
follow 2
following 4
follows 2
food 2
footfall 1
for 43
forbidden 2
forced 1
forests 2
forfeit 1
forget 1
forgiveness 1
forsake 1
forward 1
fostermother 1
found 1
free 1
freedom 1
freeing 1
freely 1
friend 1
friends 1
friendship 1
from 20
front 1
frustrated 2
frustration 1
fulfilling 1
fun 1
funding 1
furious 1
future 2
gall 1
garners 1
gates 1
gathering 2
get 2
gets 1
getting 1
giant 3
gift 2
gifts 1
girl 1
give 2
given 4
giving 1
glee 1
glitter 1
go 5
god 1
gods 3
goes 3
going 2
gone 1
good 7
goodbye 1
gorrydum 2
gorrym 1
gorym 1
great 1
greatly 1
greeted 1
grey 1
group 1
groves 1
grown 3
grows 1
grudgingly 1
guard 2
guards 6
had 4
half 1
hand 1
hands 3
happen 1
happened 1
happy 3
hard 1
harm 3
has 22
have 10
having 1
he 111
head 4
headed 1
healer 1
hear 1
hearing 1
hears 1
heart 2
heir 2
help 3
helps 3
her 53
here 3
herself 3
hesitation 1
hidden 1
him 56
himself 5
his 83
history 1
holding 2
holds 1
hollow 1
home 5
homes 2
hopelessness 1
hoping 1
horns 1
horse 1
horses 1
hot 1
hours 1
house 4
household 1
how 1
however 14
humble 1
humbled 1
hundreds 1
hunt 2
hunting 2
hunts 1
hurries 1
hurt 1
hyacinthe 1
i 6
idea 1
if 15
im 1
image 1
immediately 1
import 1
impossible 1
improves 1
imriel 99
in 52
including 1
indeed 1
inevitably 1
infamous 1
influence 2
inherit 1
injured 1
injuries 1
inside 2
insisted 1
instead 3
intelligence 1
interrupt 1
intervention 1
into 7
involved 1
irresistible 1
is 100
island 1
issues 1
it 38
itself 1
jail 1
jealousy 1
joies 1
join 1
joscelin 5
journey 2
just 1
justice 1
keep 2
kept 1
kill 1
kind 1
kindhearted 1
king 1
kingdom 2
kiss 1
kisses 2
knees 1
knew 1
knife 1
know 4
knows 6
kusheline 1
kushiel 5
la 2
lack 2
ladyinwaiting 1
land 1
lands 1
large 5
last 2
law 1
lead 1
leader 3
leads 3
learning 1
learns 4
least 2
leather 1
leave 2
leaves 3
leaving 2
led 1
left 3
leodan 3
less 1
lessons 1
let 8
letter 4
letters 2
letting 2
lie 2
lied 1
life 5
lifts 1
lights 1
like 4
liked 1
likely 1
limbs 1
linguistic 1
lips 1
listens 1
lit 1
lives 1
local 2
lombelon 2
lone 1
loneliness 1
long 4
longstale 1
look 1
looking 1
lord 3
loses 1
lost 1
love 19
loved 2
lovemaking 2
lover 2
loves 5
loving 1
loyal 1
lucca 1
lust 1
lustful 3
lying 1
mab 1
machinations 1
mad 1
made 1
maghuin 5
magic 3
majority 1
make 9
makes 2
makeshift 1
making 3
man 2
manage 2
manages 2
mannekin 4
many 6
marriage 1
marry 1
maslin 7
masque 1
master 1
material 1
matrilineal 1
matures 1
mavros 6
may 2
me 4
meaning 2
means 1
meet 3
meeting 1
meets 2
melisande 2
melted 1
member 1
men 3
mercy 2
merely 1
met 1
metal 1
mettle 1
micah 1
midwinter 1
miroslas 1
misrule 1
misses 1
missing 1
mission 1
mistakes 1
monster 1
month 1
months 2
mood 2
moping 1
more 6
morning 2
morwen 18
most 5
mother 2
move 1
much 4
multiple 1
mushroom 2
must 3
muted 1
my 9
mysterious 1
n 2
naamah 2
name 3
named 1
nearby 1
nearly 3
necessary 1
neck 3
needs 1
neighbouring 1
nephew 1
nevertheless 1
new 4
next 1
night 6
nights 1
no 4
noble 1
none 2
nor 2
north 1
not 32
nothing 2
noticeable 1
novel 1
now 5
nuances 1
number 2
obtained 1
obviously 2
occurrences 1
of 112
off 5
offers 1
often 2
ollamh 9
on 32
once 5
one 8
only 9
open 3
opinion 1
or 6
other 5
others 1
out 6
outside 3
over 1
own 1
paints 1
palace 3
paperback 1
parents 1
party 2
passage 2
passes 1
past 1
path 2
paths 1
patient 1
pause 1
peaceful 1
penance 1
people 5
perceiving 1
perfect 1
person 1
personal 1
persons 1
petals 2
phdre 6
picking 1
picture 1
pilgrimage 1
place 1
places 1
play 1
pleasant 1
pleasures 1
pledge 1
poignant 1
politics 1
port 1
position 1
possibilities 1
praise 1
prayed 1
prayedi 1
precept 1
predominantly 1
pregnancy 1
pregnant 1
preparations 1
prepare 1
presents 1
prettyboy 1
preview 1
priest 1
prince 5
princess 2
prisoner 1
private 2
promise 1
promised 1
promises 1
protect 1
prove 1
proves 1
provides 1
public 1
pull 2
punish 1
punisher 1
pupil 1
put 3
puts 1
quarters 2
queen 3
quest 1
quickly 1
raid 3
raided 1
raids 1
raised 1
raises 1
reaches 1
read 1
reading 2
reads 1
real 1
reality 1
realizing 1
reason 1
recasts 1
red 2
redesigns 1
refuse 2
refuses 2
regardless 1
relationship 8
release 1
relieved 1
religion 1
religious 1
remained 1
remaining 1
remains 1
removes 1
rendezvous 1
renown 1
replies 3
report 1
representative 1
rescuers 1
resentment 1
reserved 1
