21736268
/m/05mzsmj
/m/05mzsmj
James Blaylock
1989-06
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 13
after 1
also 1
an 3
ancient 1
and 10
annual 1
as 1
assistance 1
at 1
attempts 1
attending 1
bag 1
balumnia 1
barmaid 1
be 1
becomes 1
been 1
believes 1
bribe 1
bunjo 1
but 2
cheated 1
coastal 1
combination 1
crew 1
designs 1
divorc 1
do 1
dwarf 5
eats 1
eccentric 1
elf 1
eliminate 1
elves 2
encounter 1
enemies 1
escargot 10
evil 1
exwife 1
festival 1
find 1
first 1
fit 1
foibles 1
for 2
fortunes 1
from 3
giants 1
goods 1
gypsyhobo 1
had 2
hapless 1
harvest 1
has 2
he 5
her 1
him 4
his 3
homeless 1
hopes 1
humiliates 1
improve 1
improvisation 1
in 2
indigent 1
infatuated 1
into 2
introduced 1
is 3
judge 1
kind 1
land 1
laughs 1
leads 1
learns 1
leaves 1
leta 4
local 1
man 1
many 1
marbles 2
meeting 1
misadventures 1
money 1
not 1
obtaining 1
odd 1
of 14
on 1
opportunity 1
out 1
passage 1
persistence 1
pie 1
pique 1
piratical 1
plan 1
possession 1
purchased 1
pursue 1
rapidly 1
redeem 1
rescue 1
resolves 1
revival 1
revivalist 1
revive 1
sacrifice 1
seaside 1
seeks 1
seem 1
series 1
settlement 1
siamesetwin 1
skyfaring 1
sole 1
sort 1
stone 1
stover 2
submarine 1
surprise 1
survives 1
swindles 1
terrifies 1
that 1
the 16
them 1
then 1
through 2
to 10
town 1
travels 1
uncle 1
undersea 1
unfortunately 1
up 2
use 1
vessel 1
wealthy 1
where 1
wife 2
winding 1
winds 1
with 3
withholding 1
world 1
