13933881
/m/03cnm_6
/m/03cnm_6
James Baldwin
1976
a 6
aegis 1
again 1
and 4
away 1
back 1
ball 2
beanpole 1
bleeding 1
blinky 1
bottle 1
buttocks 1
by 2
car 1
cocoa 1
cola 1
covers 1
crying 1
dances 1
delights 1
down 1
drives 1
end 1
father 1
fell 1
foot 1
for 4
friends 2
from 1
gash 1
gives 1
go 3
goes 2
grazes 1
he 2
her 1
him 3
his 6
hurt 1
hurts 2
in 1
invites 1
is 2
knee 1
later 1
lee 3
looking 1
man 4
miss 4
mr 3
of 2
on 1
outside 1
over 1
owner 1
pepsi 1
playing 1
plays 1
police 1
puerto 1
record 1
rican 1
run 1
shards 1
she 1
shopping 2
starts 2
store 1
summoned 1
the 5
then 4
they 3
three 1
tj 4
to 5
under 1
up 1
wants 1
way 1
while 1
whose 1
window 1
with 2
wt 3
