28860707
/m/0ddcx_c
/m/0ddcx_c
Keith Mansfield
2008-07-03
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
21st 1
30 1
a 2
abducted 1
about 1
acquired 1
alien 1
aliens 1
an 1
and 4
appears 1
as 2
at 2
atlantis 1
axe 1
before 2
beginning 1
ben 1
book 4
but 1
by 2
castle 1
centre 1
century 1
children 2
computers 1
county 1
course 1
day 1
destruction 1
detected 1
develops 1
dinosaurs 1
discovering 1
distant 1
dudbury 1
during 1
early 1
earth 1
essex 1
extinction 1
fictional 1
for 1
from 1
galaxy 1
gherkin 1
halader 1
has 1
he 2
his 1
home 2
house 1
identical 1
in 6
is 3
it 1
johnny 3
kingdom 1
known 1
living 1
located 1
london 2
mackintosh 3
mary 1
name 1
new 1
of 9
opens 1
outside 1
parents 1
past 1
present 1
program 1
returning 2
set 1
setistyle 1
signal 1
situated 1
skyscraper 1
spaceship 1
spirit 1
st 1
the 25
title 1
to 4
town 1
travels 1
truth 1
united 1
with 1
witnesses 1
written 1
