2461964
/m/025sb5z
/m/025sb5z
Ian Fleming
1953-04-13
007 1
a 12
able 1
about 1
against 1
agent 5
agents 2
aid 1
also 2
an 3
and 10
as 9
assassin 1
assigns 2
assistant 1
at 2
attempts 1
baccarat 1
back 1
bankrupt 1
bankrupting 1
be 2
become 1
been 1
before 1
behind 1
belonging 1
between 1
bitch 1
blackmail 1
bond 18
both 1
brutal 1
bureau 1
bursts 1
but 2
casino 1
chiffre 7
cia 2
coldly 1
committed 1
companion 1
compliments 1
confrontation 1
contact 1
contemplates 2
continues 1
cover 1
cuts 1
cyrillic 1
danger 1
day 2
dead 1
desperate 1
despite 1
deuxime 1
distresses 1
do 1
does 3
double 1
down 1
duplicity 1
eighty 1
envelope 1
even 1
eventually 2
every 1
explaining 1
failure 1
faked 1
felix 1
finds 1
first 1
following 1
for 4
france 1
francs 3
free 1
french 1
from 1
future 1
game 3
get 1
gettler 2
gives 1
gradually 1
greatly 1
guest 1
had 4
hand 1
has 2
he 7
head 2
helping 1
helps 1
her 8
highstakes 1
him 3
his 4
hospital 1
house 1
identify 1
if 1
in 5
including 1
information 2
informs 1
intense 1
into 3
is 2
jamaican 1
james 1
kidnapped 1
kidnapping 1
kidnaps 1
kill 3
kills 1
le 7
leaves 1
leaving 1
leiter 1
life 1
losing 1
lover 1
lovers 1
loves 1
lynd 2
m 3
majesty 1
man 1
marshall 1
million 3
minders 1
mission 1
money 3
morning 1
movements 1
mvd 1
mysterious 1
named 1
never 1
new 1
no 1
northern 1
not 2
note 2
now 1
observers 1
of 9
one 2
only 1
orders 1
own 1
part 1
paymaster 1
personal 1
pilot 1
play 1
playboy 1
polish 1
prospect 1
punishment 1
put 1
quiet 1
raf 1
realised 1
realises 1
recover 1
recuperates 1
released 1
reporting 1
revealed 1
rich 1
round 1
royaleleseaux 1
russian 1
s 1
saying 1
secret 2
section 1
see 1
seeing 1
send 1
service 3
settle 1
sh 1
she 6
shpion 1
signify 1
smersh 6
smershcontrolled 1
so 3
soon 1
soviet 1
special 1
spend 1
spy 1
start 1
staying 1
subjects 1
such 1
suicide 1
taking 1
telling 1
that 8
the 23
their 1
them 2
then 1
they 2
thirtytwo 2
threatening 1
time 1
to 14
together 1
tormentors 1
torture 2
tracking 1
trade 1
tried 1
turns 1
under 1
undermine 1
union 2
unwilling 1
upon 1
usa 1
used 1
vesper 4
visits 1
when 1
which 1
who 1
will 1
wins 2
with 5
working 1
would 2
