1922962
/m/066cjz
/m/066cjz
Flannery O'Connor
1960
a 21
about 1
actually 1
after 2
again 1
against 1
ago 1
all 1
allow 1
also 1
amazed 1
an 1
and 15
another 1
anyway 1
area 1
as 5
asked 1
assumed 1
at 9
attempts 4
away 2
back 4
baptize 3
baptized 1
baptizing 1
be 6
because 1
been 5
before 1
begin 1
beginning 1
begins 1
being 1
beside 1
bishop 8
black 1
blessing 1
boat 1
body 3
both 1
boy 7
boys 1
brought 1
buford 1
burial 3
burned 2
but 7
by 5
calling 1
can 2
cannot 1
change 1
children 1
christian 4
city 2
civilize 1
clothes 1
command 1
commissioned 1
confront 1
confronted 1
confronting 1
confronts 1
convinced 1
convinces 1
corrupt 1
corrupted 1
could 1
country 3
crazy 1
cross 1
damage 1
day 1
death 2
decides 1
demons 1
destinies 1
destiny 1
devil 1
devises 1
dies 1
dig 1
do 1
doesnt 1
done 1
door 2
down 1
drinking 1
drops 1
drown 1
drowning 1
drunk 3
easily 1
edge 1
educated 2
ends 2
enlightened 1
entices 1
essentially 1
evening 1
eventually 2
excited 1
faintly 1
faints 1
family 1
farm 1
father 1
fear 1
feels 1
figure 1
finally 2
fire 1
fishing 1
folded 1
for 4
forget 1
forsake 1
francis 1
from 4
fulfilling 1
fully 1
get 2
gets 2
give 1
given 3
go 3
god 1
going 1
gone 1
grave 2
great 10
greatnephew 1
greatuncle 1
greeted 1
ground 1
guise 1
had 12
happened 1
has 3
have 2
he 15
head 1
heading 1
hear 1
hears 1
him 13
his 26
hitches 1
hopes 1
house 4
however 1
human 1
immediately 1
implied 1
in 9
inside 1
instead 2
into 1
is 9
it 4
judgment 1
just 1
kidnapped 2
lake 2
leave 2
leaves 1
life 1
like 1
little 3
live 2
lived 2
lodge 2
long 1
longer 1
main 1
makes 1
man 8
many 2
marking 1
mason 4
meets 1
mercy 1
middle 1
modern 1
much 1
must 2
naked 1
neatly 1
nephew 1
no 1
normal 1
not 2
nothing 1
novel 2
obeys 1
of 9
off 2
offer 1
old 10
on 6
once 1
one 1
only 1
or 1
order 4
out 5
passes 1
past 1
plan 1
point 1
prior 1
proper 3
prophet 2
protagonist 1
put 1
raise 1
rayber 15
realized 1
realizes 2
reform 2
religious 1
reluctant 1
requested 1
requests 1
rescued 2
resisted 1
resists 1
resurrected 1
returns 1
revolted 1
ride 2
run 1
runs 1
salesman 1
same 2
save 1
secular 1
see 2
sets 1
seven 1
simultaneously 1
so 2
some 1
son 3
soul 1
speed 1
starts 1
stay 1
still 2
story 1
suddenly 1
superstitious 1
syndrome 1
take 1
takes 2
taking 1
tarwater 31
teenaged 1
telling 1
tells 2
terrible 1
that 11
the 49
them 1
thereby 1
think 1
three 1
through 1
time 2
to 34
together 1
toward 1
tree 1
true 1
two 2
uncle 15
under 1
understands 1
up 6
upbringing 1
very 1
voice 2
voices 1
waking 1
warn 1
was 2
way 2
what 2
when 5
where 2
which 3
while 3
who 6
will 1
wish 2
with 10
woods 1
would 1
years 1
young 5
