9987955
/m/02py_0g
/m/02py_0g
James Shirley

a 10
abandons 1
abducts 1
accepted 1
accomplished 1
admirable 1
an 1
and 13
announcing 1
are 1
armor 1
arrested 1
arthur 1
as 5
ashamed 1
asks 1
astonished 1
at 2
attention 1
attracts 1
bag 1
been 2
before 1
bellaura 4
best 1
but 1
called 2
campaign 1
character 1
childlessness 1
claudiana 3
comedy 1
comes 1
comic 1
commander 1
commoner 1
confession 1
convicted 1
convinces 1
cornari 9
courageous 1
court 1
critic 1
debauched 1
decides 1
derives 1
determined 1
determines 1
distinguishes 1
distracted 1
doing 1
drunk 1
duke 5
english 1
equips 1
estate 1
eventually 1
experience 1
fact 1
firstly 1
florelli 7
for 5
from 1
gardener 1
gardening 1
genice 1
genoa 1
gentleman 2
get 1
giovanni 8
goal 1
great 1
had 1
hand 1
has 4
have 1
he 5
head 1
hears 1
heir 2
her 3
hesitation 1
high 1
him 7
himself 1
his 12
however 1
humblest 1
impregnate 1
impregnation 1
imprisons 1
in 7
infants 1
inherit 1
into 1
introduction 1
is 12
its 1
kept 1
kidnapped 1
killed 1
lady 1
laments 1
leave 1
leaves 1
letter 1
making 1
malipiero 2
man 3
marriage 2
married 1
masquerades 1
mdash 3
military 1
mother 1
much 1
name 1
nason 1
nephew 2
niece 1
no 1
not 1
notably 1
nurse 1
of 14
old 1
ove 1
own 1
palace 1
pardon 1
participating 1
place 1
plans 1
play 2
pleads 1
plot 1
praying 1
priest 1
proud 1
really 1
recognized 1
reformation 1
refuses 1
relative 1
releases 1
repentant 1
restoration 1
returns 1
reward 1
rightful 1
same 1
scenes 1
scheme 1
secondly 1
serious 1
serve 1
shall 1
sincere 1
so 4
soldier 1
son 4
spent 1
station 1
street 1
subplot 2
suitable 1
switched 1
taken 1
tells 1
that 5
the 26
their 1
thinks 1
this 2
thomazo 2
thomzo 1
though 1
time 2
title 1
to 9
together 1
tossed 1
treason 1
treasonous 1
two 1
uncle 1
ursula 2
valor 1
venice 4
virtue 2
war 1
ways 1
wealthy 1
when 2
which 2
while 1
who 2
wife 2
will 1
with 6
worthy 1
young 2
