26190179
/m/0b74wf9
/m/0b74wf9
Christie Golden
2009-04-21
a 3
across 1
adversaries 1
aegwynn 1
after 1
against 1
age 1
aid 1
alliance 1
along 1
alternate 1
an 1
and 16
anduin 1
apparent 1
are 2
arena 1
arriving 1
arthas 11
as 4
at 1
attempt 1
battle 1
bearing 1
begins 1
between 2
beyond 2
book 1
bronzebeard 1
by 1
calia 1
calling 1
cameos 1
capital 1
cathedral 1
caught 1
chaos 1
childhood 1
city 1
coming 1
continues 1
covers 1
culling 1
culture 1
dark 1
darkness 1
daval 1
day 1
demise 1
depicted 1
developed 1
dismissing 1
draenor 1
dragon 1
duplicate 1
durnholde 1
early 1
elven 1
end 1
eventually 2
experienced 1
extensive 1
fall 1
father 1
feast 1
festival 1
festivities 1
fight 2
fighting 1
fire 1
first 2
for 2
forces 1
from 5
frostmourne 1
frozen 1
gladiator 1
hallow 1
hand 2
has 1
he 2
high 1
him 3
his 1
horde 1
however 2
imaginary 1
in 8
included 1
including 1
inducted 1
is 5
jaina 4
kaelthas 1
keep 1
kelthuzad 1
king 3
knight 1
knights 1
later 2
leading 1
leads 1
lich 2
light 1
lothar 1
love 1
malganis 1
many 1
marry 1
meeting 1
menethil 1
midsummer 1
moments 1
muradin 2
murder 1
news 1
nine 1
noblegarden 1
numerous 1
of 18
off 1
on 2
orcs 1
other 2
over 1
partaking 1
period 2
play 1
plot 1
point 1
portal 1
prestor 1
prince 1
proudmoore 1
quelthalas 1
refusal 1
reign 1
remain 1
responsibilities 1
same 1
scenes 3
search 1
second 1
seeing 1
service 1
set 1
shielded 1
silver 2
since 1
starts 2
stormwind 1
story 2
storyline 1
stratholme 1
such 1
sunstrider 1
taking 1
taunka 1
teachings 1
terenas 1
the 32
their 1
themselves 1
theramore 1
they 1
third 1
this 1
though 1
thrall 1
throne 1
through 1
tides 1
time 1
to 7
together 2
train 1
trained 1
traitor 1
triangle 1
tuskarr 1
up 1
uther 1
varian 3
veil 1
vengeance 1
viewpoints 1
visited 1
visits 1
volunteers 1
war 1
wars 1
was 2
while 3
winter 1
with 4
works 1
wrath 2
wrynn 1
