607364
/m/02vzjd
/m/02vzjd
Margaret Atwood
1969-08
343thank 1
34ainsley 1
34bone 1
34knocked 1
34mousy34 1
34the 1
34this 1
34you 1
3it 1
a 32
about 1
after 3
afterwards 1
ainsley 6
ainsley3s 3
all 1
along 1
also 1
an 1
and 15
announces 1
answers 1
anything 3
apartment 2
are 1
around 1
arrives 1
as 4
asked 1
asking 1
assigned 1
astonished 1
at 4
atypical 1
awkward 1
babynbsp 1
bakes 1
be34 1
beer 1
before 3
begin 1
behaved 1
big 2
body 1
book 1
boring 1
boyfriend 1
breakfast 1
buy 1
buys 1
by 2
cake 5
can 1
cannot 1
car 1
chased 1
chides 1
childhood 1
choose 1
clara 1
closing 1
college 1
confesses 1
constantly 1
conversation 1
couldn3t 1
dares 1
daring 1
date 2
days 1
decide 1
decides 1
decisions 1
delicious334 1
dependable 1
devouring 1
didn3t 1
dinner 1
disassociating 1
disturbed 1
do 1
does 1
down 1
dress 2
dressed 1
drop 1
duncan 6
duncan3s 1
during 1
eat 4
eating 1
eats 1
eccentric 1
egg 1
eggs 1
empathizing 1
end 2
engage 1
english 1
eyelashes 1
face 1
false 1
families 1
fatherhood 1
fear 1
feeding 1
fiber34 1
finds 3
finger 1
firm 1
first 2
follows 1
food 1
for 6
friend 2
from 6
funny 1
gathering 1
get 1
getting 1
girls 1
go 1
going 1
gory 1
graduate 1
had 1
has 2
have 5
he 5
head 1
hell 1
her 14
herself 5
him 5
his 7
horrified 1
horror 1
hotel 1
house 3
housewife 1
hunt 1
husbands 1
i 5
id 3
if 1
imagining 1
impregnating 1
in 11
including 1
infamous 1
intends 1
interest 1
into 2
intrigues 1
invites 1
is 12
it 9
keeps 1
kiss 1
large 1
later 2
laundromat 1
learns 1
leave 1
leaves 3
len 8
less 1
licking 1
like 2
lips 1
lipsticked 1
little 1
longer 1
looking 1
makeup 1
man 1
marian 21
marian3s 2
market 1
married 1
masquerade 1
materialized 1
mcalpin 1
me 1
meant 1
meat 1
meeting 1
meets 1
metaphorically 1
morning 2
my 1
myself 1
naive 1
narrative 1
never 1
new 2
next 1
night 1
no 2
normal 1
noticed 1
now 1
of 11
off 1
offering 1
offers 1
office 1
on 3
opinions 1
or 3
out 1
pages 1
party 3
passivity 1
people 1
person 1
peter 11
pink 1
plan 3
plot 1
point 1
poked 1
polishes 1
pregnancy 1
pregnant 3
problems 1
products 1
properly 1
proposes 1
questions 1
queue 1
rabbit 1
rather 2
realized 1
realizes 1
really 2
recounts 1
red 1
relationships 1
remains 1
remotely 1
replies 1
research 1
responses 1
restaurant 1
returns 1
reveals 1
roommate 1
roommates 1
ruins 1
runs 1
said 2
sampling 1
says 2
schoolgirlnbsp 1
seduce 1
sets 1
sex 1
shape 1
share 1
shares 1
she 10
shortly 2
shows 2
sights 1
sleazy 1
slips 1
smile 1
smudged 1
softboiled 1
someone 1
something 2
stage 1
steak 1
stood 1
streetcar34 1
student 1
submits 1
substitute 1
succeeds 1
suggests 1
supposed 1
surprise 1
survey 2
table 1
talks 1
task 1
tear 1
tell 1
tendon 1
test 1
than 1
that 13
the 24
their 1
then 1
thereafter 1
these 1
they 3
thing 2
this 1
throw 1
to 24
topfloor 1
toronto 1
touch 1
trick 1
type 1
unable 2
unaware 1
unexpected 1
unsatisfying 1
up 4
upon 1
vegetables 1
virginal 1
virgins34 1
waiting 1
walking 1
want34 1
wants 1
wardrobe 1
was 6
wedding 1
wet 1
what 1
when 5
where 1
which 3
while 2
who 6
why 1
will 1
wishes 1
with 10
without 1
woman 2
womanizer 1
work 2
works 1
writing 1
you 4
you3 1
you34 1
young 1
