2829546
/m/085chc
/m/085chc
Anthony Trollope
1855
a 10
abode 1
abraham 1
accept 1
addition 1
advised 1
after 1
allowed 1
almshouse 2
also 1
an 2
and 16
anticant 1
appealed 1
appetite 1
appointed 1
apportionment 1
archdeacon 2
are 3
as 2
at 1
attempts 1
barchester 4
barrister 1
barsetshire 1
be 1
becomes 1
bedesmen 4
been 2
before 1
bequest 1
between 1
bishop 2
bold 5
browbeating 1
bunce 1
by 5
campaign 2
cannot 1
care 1
caricatures 1
carlyle 1
cathedral 2
charitable 1
charity 2
charles 1
child 1
circle 1
close 1
comfortable 1
commentators 1
concerns 2
concludes 1
conduct 1
conscience 1
conscientiously 1
constantly 1
continue 1
cordial 1
county 1
cuthbert 1
daughter 2
decides 1
derelict 1
despite 3
dickens 1
diocese 1
disparity 1
dr 2
drawing 1
duties 1
duty 1
editor 1
editorials 1
elderly 1
eleanor 3
embarks 1
end 1
engages 1
enlist 1
estrange 1
expose 1
extra 1
father 1
fictional 1
for 2
friend 1
from 2
generous 1
good 2
grantly 2
greater 1
ground 1
halting 1
hand 1
haphazard 1
harding 12
has 2
have 2
he 2
heart 1
hiram 3
his 10
hospital 4
image 1
impact 1
in 7
income 4
indomitable 1
injury 1
interest 1
involvement 1
is 5
its 4
itself 1
john 3
jupiter 1
launches 1
lawsuit 1
left 1
legal 2
lesser 1
lives 1
living 1
lost 1
loyal 1
maintains 1
married 1
marries 1
medieval 1
meek 1
member 1
money 1
mr 10
much 2
near 1
newspaper 1
none 1
novel 1
now 1
object 1
of 22
offered 1
office 2
officer 1
old 1
older 1
on 2
opinion 1
other 1
parish 1
patronage 1
pens 1
performs 1
pessimist 1
popular 1
portrait 1
position 1
post 1
precentor 1
presenting 1
press 1
previously 1
proceedings 1
provides 1
public 1
rector 1
redress 1
reform 1
reformer 1
relations 1
remaining 1
remuneration 1
representing 1
reproved 1
resigns 1
respectively 1
returns 1
romantic 1
seen 1
selfish 1
senior 1
sentiment 1
septimus 1
sir 1
small 1
solicited 1
soninlaw 2
spirit 1
st 1
stand 1
starts 1
story 1
such 1
support 1
supported 1
supporting 1
supports 1
susan 1
taken 1
than 1
that 2
the 40
their 2
them 2
this 3
thomas 1
those 1
through 1
times 1
to 14
tom 2
towers 2
twelve 1
ultimately 1
understanding 1
unmarried 1
up 1
upon 1
vacancy 1
vacant 1
vain 1
warden 5
wardenship 1
was 1
when 1
where 1
who 6
whom 1
whose 2
with 3
young 1
younger 1
zealous 1
