9123712
/m/027yj61
/m/027yj61
Graham Greene

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 3
about 1
acquitted 1
after 3
an 1
and 5
andrews 7
as 1
assizes 1
at 2
battle 1
be 1
been 1
begins 1
being 2
betray 1
blame 1
but 1
by 3
carlyon 3
character 1
come 1
consider 1
cottage 4
court 1
customs 2
danger 1
dead 1
death 1
despite 1
died 1
discovers 2
elizabeth 7
encountering 1
ended 1
ends 1
father 1
fellow 2
fetch 1
figure 1
fleeing 1
fog 1
for 3
from 1
get 1
gives 1
gone 1
has 3
he 8
head 1
help 1
helps 1
her 2
him 3
himself 1
his 4
home 1
hurt 1
hurting 1
in 3
is 6
isolated 1
judas 1
justified 1
killed 1
leave 1
lewes 2
lived 1
loose 1
man 1
moral 1
neighbors 1
not 1
novel 1
of 8
officials 2
on 1
one 3
only 1
or 1
other 1
persuades 1
pledging 1
prosecution 1
protect 1
realizing 1
recently 1
returns 3
revenge 1
runs 1
scorned 1
sends 1
she 2
should 1
silent 1
sitting 1
smugglers 6
story 1
stumbles 1
take 1
tells 2
testify 1
testimony 1
that 6
the 24
their 2
themselves 1
to 12
travels 1
trial 2
upon 1
view 1
waiting 1
water 1
way 1
well 1
when 1
where 1
whether 1
which 1
while 1
who 1
whom 1
will 1
with 5
witnesses 1
woman 1
