2427653
/m/07c9vc
/m/07c9vc
George Eliot

142 1
144 2
146 1
2 1
a 21
about 1
acquainted 1
action 1
adopted 1
adoptive 3
advice 1
advises 1
affected 1
after 3
again 2
ahead 1
allegiances 1
ally 1
also 1
ambitions 1
an 2
and 35
are 2
arno 1
arrest 2
as 2
ashamed 1
asking 1
assistance 1
assisting 1
at 3
attempt 1
attempts 1
attention 1
baldassare 5
barber 1
bardi 1
bardo 3
based 1
be 3
become 1
becomes 4
been 2
before 1
bernardo 1
betrays 1
betrothed 1
between 2
blind 1
boat 2
boccacio 1
bonfire 1
both 1
bring 1
burned 1
but 4
by 7
calls 1
can 1
care 1
carnival 1
ceremony 1
character 1
charles 1
children 2
christmas 1
christopher 1
church 1
city 5
classical 1
coast 1
columbus 1
comparing 1
complex 1
corruption 1
cousin 1
culminating 1
daughter 1
de 3
death 4
decameron 1
decides 1
declared 1
defiant 1
del 1
denies 1
die 1
died 1
disease 1
dismisses 1
diving 1
do 1
dominican 1
drifts 1
duomo 1
duplicitous 1
duty 1
each 1
earlier 2
easter 1
effected 1
eighteen 1
elite 1
embroiled 1
emulating 1
encounters 1
end 1
ends 1
endured 1
enfeebled 1
enter 1
erupts 1
escaped 3
escapes 2
estranged 1
ever 1
exiled 1
expel 1
experience 1
experiences 1
expose 1
faith 1
falls 3
family 1
famine 1
father 4
fathered 1
fatherinlaw 1
fearful 1
fellow 1
fervour 1
filial 1
five 1
florence 15
florentine 3
florentines 3
for 6
forced 1
foretelling 1
forward 1
fra 4
french 3
frenchitalian 1
from 4
fulfil 1
futile 1
game 1
girl 1
girolamo 1
gives 1
godfather 1
gone 1
gostanza 1
government 1
growing 1
has 11
have 1
he 9
help 1
helps 2
her 16
heresy 1
him 3
himself 1
his 14
however 3
husband 1
ignominious 1
ignorant 1
ill 1
imparting 1
in 20
inaction 1
including 2
influence 1
influences 1
inspiring 1
intervene 1
into 3
introduced 1
introduces 1
introspects 1
invaders 1
invading 1
is 9
it 1
italian 1
italianategreek 1
its 1
just 1
kill 1
killed 1
king 2
knowing 1
late 2
leader 1
leadership 1
leads 1
league 1
learns 2
leave 1
leaves 2
leaving 1
legendary 1
library 1
life 2
lordship 1
lorenzo 1
love 3
luca 4
madman 1
maintains 1
makes 1
manoeuvre 1
manoeuvring 1
marriage 4
married 2
marry 1
meanwhile 2
medici 3
meets 2
melema 1
member 1
mirroring 1
mob 1
mock 1
monk 1
months 2
more 2
mourned 1
moves 1
mysterious 1
named 2
nature 1
nello 1
nero 1
nevertheless 1
new 4
novel 2
november 1
now 2
obligations 1
october 1
of 21
older 1
on 3
once 1
other 2
out 2
own 1
pain 1
panicked 1
papal 1
participates 1
past 1
paves 1
persuaded 1
piero 1
plague 1
plans 3
played 1
pleads 1
political 4
poor 1
preaches 1
pressure 1
prisoner 2
purpose 1
rampant 1
reception 1
refuses 1
religious 1
remains 1
rescue 1
return 1
returns 2
reveals 2
revenge 1
ridding 1
rioters 2
river 2
role 1
rome 1
romola 20
run 1
sailed 1
savonarola 8
scholar 3
scourge 1
sea 1
secret 1
secretly 1
seen 1
selling 1
sentenced 1
setting 2
settled 1
several 2
shaken 1
she 7
shipwrecked 1
shortly 1
sick 1
sister 1
skips 1
slavery 1
small 2
society 1
some 1
somewhat 1
son 2
speaks 1
stake 1
starvation 1
story 1
stranger 2
studies 1
successor 1
supporter 1
supporters 1
surrender 1
survivors 1
swears 1
swept 1
takes 2
target 1
tessa 6
than 1
that 5
the 49
their 2
then 2
thereafter 1
this 6
through 2
thwart 1
time 2
times 1
tito 22
to 36
towards 1
trader 1
tried 1
true 1
trust 1
turmoil 1
turn 1
turns 1
two 4
under 2
uneasy 1
unfilial 1
upheaval 1
upon 1
v 1
valued 1
vanities 1
venice 1
viii 1
village 1
vision 1
visit 1
war 1
warfare 1
warning 1
warns 1
wars 1
way 2
where 2
who 6
whom 1
will 1
with 8
world 1
would 1
young 2
