444143
/m/0296dd
/m/0296dd
William Inge

a 10
abandon 1
age 1
alcoholic 1
and 9
appetite 1
art 1
as 4
at 2
avoiding 1
baby 1
back 1
boarder 1
bottle 1
bruce 1
by 2
career 1
centers 1
chiropractor 1
cluttered 1
college 1
coquette 1
cramped 1
delaney 1
descent 1
disrupted 1
doc 3
dog 1
ekes 1
encourages 1
end 1
engages 1
eventual 1
flirtations 1
for 1
forced 1
he 3
her 1
herself 1
him 2
his 1
house 1
housebound 1
how 1
imagined 1
in 4
ingratiating 1
into 1
is 2
life 1
like 1
living 1
lola 4
lost 2
lustful 1
mailman 1
maintains 1
marie 3
married 1
medicine 1
middleaged 1
midwestern 1
mild 1
milkman 1
missing 1
muscular 1
named 1
not 1
of 3
on 1
once 1
opportunity 1
out 1
overweight 1
past 1
perfect 1
play 1
plot 1
precarious 1
pregnant 1
presence 1
promising 1
pure 1
pursuit 1
rage 1
realization 1
recovering 1
refers 1
remains 1
represents 1
sacrificed 1
sees 1
sends 1
set 1
she 4
slovenly 1
slow 1
sobriety 1
strong 1
student 1
subsequently 1
that 2
the 12
their 1
title 1
to 3
turk 1
unbridled 1
was 2
wealthy 1
when 1
who 2
with 2
youth 1
