12577054
/m/02wwj03
/m/02wwj03
James Moloney
2004-05-26
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 5
again 1
all 2
alwyn 1
an 1
and 4
are 1
as 1
at 2
be 1
bea 2
beast 1
book 1
both 1
boy 1
but 1
by 1
called 2
claims 2
corner 1
danger 1
day 1
during 1
encounters 1
erased 1
every 1
evil 2
feared 1
fergus 2
from 1
girl 1
haughty 1
he 6
his 9
imprisoned 1
in 1
is 6
isnt 2
king 2
know 1
knows 1
lie 1
lies 2
little 1
lives 1
lord 1
lurks 1
man 1
marcel 3
meeting 1
meets 1
memories 1
memory 2
mighty 1
more 1
mortregis 1
most 1
mother 3
must 1
mysterious 1
name 4
nicola 2
night 1
no 1
nothing 1
of 7
once 2
one 2
only 1
or 1
orphanage 2
pelham 2
powerful 2
real 3
really 1
remembers 1
rising 1
robert 2
she 1
sorcerer 1
starkey 2
stay 1
stop 1
suddenly 1
sure 1
tells 1
than 1
that 2
the 8
there 1
thing 1
this 1
to 2
up 1
upon 1
using 1
usurper 1
wakes 1
war 1
was 2
well 1
when 1
who 2
whom 1
with 1
young 1
