11351771
/m/02r8m4k
/m/02r8m4k
Frederic Dannay

20000odd 1
a 6
all 1
and 14
anyone 1
appearing 1
are 1
arena 1
around 1
arrested 1
astounding 1
baffling 1
be 4
before 1
boxes 1
buck 3
but 2
can 2
cannot 1
celebrities 2
changed 1
clever 1
cohort 1
coliseum 1
cowboys 1
cowgirls 1
crucial 1
days 1
details 1
detective 1
down 1
early 1
ellery 2
entire 2
even 2
event 2
exhibition 1
exhibitions 1
explained 1
faithful 1
falls 1
famous 1
fancy 1
film 1
firing 1
for 1
former 1
fortyone 1
found 2
full 1
gallop 1
galloping 1
giving 1
group 1
gun 2
he 1
heart 1
heroes 1
hiding 1
him 1
his 4
hollywood 1
hooves 1
horne 1
horse 1
identity 1
in 6
including 1
injun 1
is 1
longer 1
luck 1
made 1
many 2
movie 3
murder 1
murderer 2
must 1
new 1
newsreel 1
no 1
of 10
on 4
once 1
one 1
people 2
performers 1
photographers 1
place 1
plot 1
point 1
posterity 1
queen 2
recording 1
required 1
reveal 1
reviewed 1
riding 1
rodeo 2
roping 1
searched 1
set 1
shooting 1
shot 1
sixguns 1
some 1
specific 1
staff 1
stands 1
star 1
surprises 1
suspicion 1
talents 1
tastes 1
that 2
the 21
their 1
though 1
thousand 1
through 1
to 2
track 1
trampled 1
trap 1
tricks 1
twenty 1
two 1
under 1
until 1
was 1
way 1
went 1
were 1
western 1
when 1
whooping 1
with 1
work 1
works 1
york 1
