412654
/m/025926
/m/025926
John Irving
1989-03
{"/m/05hgj": "Novel"}
150s 1
160 1
160s 1
168 3
170s 1
180s 1
187 1
8 1
80 1
a 54
abiding 1
about 1
absent 2
academy 4
academynbsp 1
accidentally 1
achieving 1
act 1
acting 1
actions 4
active 1
administration 1
admits 1
admitted 1
adoptive 1
adorable 1
adores 2
adult 1
adults 1
advantages 1
affected 2
afraid 2
after 2
against 1
age 1
airport 3
alice 1
alike 1
all 3
allows 1
almost 2
along 2
alongside 1
also 8
although 10
amateur 1
america 1
amputate 1
an 6
and 95
anger 1
anglican 1
angry 1
animosity 1
antagonistic 2
anticlimax 1
antipathy 1
antireligious 1
antiwar 1
any 1
apart 1
apartment 2
apparent 1
apparently 1
appear 1
appearance 1
apply 1
approaches 1
approval 1
are 14
arizona 3
army 1
around 3
arrive 1
arrived 1
arrogant 1
arts 1
as 20
asking 1
associates 1
assumes 1
at 18
attendancenbsp 1
attending 2
attention 3
attitude 2
attitudes 1
attracted 1
attraction 1
avoid 2
awarded 1
away 1
baby 1
bachelor 1
back 2
backgrounds 1
backing 1
ball 3
barges 1
baseball 2
basketball 2
bathroom 2
bathrooms 1
be 6
beatific 1
because 1
become 5
becomes 3
been 3
before 1
begin 1
begins 1
begs 1
being 5
belief 3
believes 2
bent 1
best 2
between 1
bewildered 1
bigotry 1
birth 1
bishop 1
blame 1
blames 1
bodies 1
book 1
bookends 1
boston 2
both 7
boy 2
boys 3
break 1
bring 1
bringing 1
brings 1
brokenhearted 1
brother 2
bumbling 1
businessmanturnededucator 1
but 9
by 13
california 1
called 1
calm 1
canada 1
canadian 3
cannot 1
cards 1
career 2
carol 3
casualties 1
casualty 1
catatonic 1
catholic 2
catholicism 2
catholics 1
chagrin 1
chalking 1
chances 1
chaotic 1
characters 1
charges 1
charisma 1
charming 1
cheerfully 1
child 4
childhood 2
childlike 1
children 6
childs 1
choices 1
chosen 1
christ 1
christian 1
christmas 4
church 4
citizen 1
citizenship 1
claims 2
class 1
classconscious 1
classmates 1
clear 1
clever 1
close 1
closeness 1
come 1
command 1
commands 1
comments 1
committed 1
community 1
concerns 1
condition 1
conditionsnbsp 1
confides 1
confront 1
confrontations 1
cong 1
congregationalist 1
considered 1
conspicuously 1
contemptuous 1
contemptuously 1
contrast 1
conversely 1
conviction 2
cooper 1
course 2
coursework 1
cousins 1
covers 1
craftily 1
create 1
creepy 1
curious 1
damaged 1
dan 7
date 4
dating 1
day 2
deal 2
dealt 1
death 7
degree 1
delirious 1
depressing 1
descendant 1
described 2
describes 1
despised 1
despite 6
destiny 1
destroyed 1
details 2
determination 2
develop 1
develops 1
diary 1
dick 3
dictatorial 1
did 2
die 2
dies 1
different 1
dinks 1
directs 1
disappears 1
discord 1
discovers 1
dismisses 1
do 2
doctor 1
does 3
dolder 1
dominates 1
dormitory 1
draft 2
drafted 1
dramatic 1
drawn 1
dreaded 1
dream 3
dull 1
dunk 2
duo 1
during 5
earlier 1
easily 1
ecstatic 1
editorial 1
either 1
electing 1
eleven 1
embarrasses 1
embarrassing 1
embrace 1
