13470974
/m/03c6c_w
/m/03c6c_w
Cate Tiernan
2008-04-29
{"/m/01qxvh": "Romance novel"}
34 1
a 20
about 6
accept 1
across 1
adult 1
after 4
age 1
all 1
an 10
and 49
another 1
answer 1
apartment 1
apologizes 2
apology 1
appetite 1
are 2
arrives 2
as 3
aspects 1
assigned 1
at 12
attempt 1
attention 1
away 2
back 2
bar 1
barely 1
based 2
be 3
because 1
become 1
becomes 2
bed 1
before 2
begins 1
being 1
birthday 2
blows 2
book 1
boyfriend 1
break 1
broadway 2
brooklyn 2
but 6
by 1
called 2
can 1
carefree 1
caring 1
cast 1
catches 3
cathedral 1
childhood 1
children 3
city 1
claire 3
closely 1
closer 2
coincides 1
collapses 2
comes 1
comforted 1
complex 1
con 1
controlling 1
controls 2
conversations 1
cream 2
crew 1
date 2
daughter 1
day 5
days 1
decides 1
demands 1
dependent 1
despite 1
devastated 1
die 1
died 1
dies 1
dinner 3
do 1
each 4
eating 1
effort 1
egomaniacal 1
epilogue 1
ever 1
every 4
everyone 1
exhibit 1
existence 1
explodes 1
extra 2
face 1
fact 2
failure 1
father 1
feels 1
few 1
film 1
finally 2
finds 2
first 1
flirts 1
following 1
for 7
forget 2
forgets 1
forgotten 1
friend 4
friends 1
from 5
front 1
full 1
funeral 1
get 3
gets 2
girlfriend 1
giving 1
go 5
goes 2
going 2
gone 1
good 1
grandmother 1
guidance 1
happy 3
has 3
hasnt 1
have 2
he 32
health 1
heart 1
heaven 2
hectic 1
help 1
her 39
herself 1
him 7
himself 1
his 9
hit 1
hitches 1
home 4
hospital 3
hotel 1
how 1
however 2
hugh 7
human 1
hurt 1
husbands 1
ice 2
imaginary 4
impulse 2
in 14
increasingly 1
infiltrates 1
instantly 1
insults 1
into 2
is 20
isnt 1
it 6
jane 33
jerk 1
just 2
keeping 1
kids 1
knows 1
last 1
later 5
leading 1
learn 1
learns 2
leave 1
leaves 5
left 1
life 5
lives 2
living 1
loses 1
lovingly 1
lowbudget 1
makes 2
making 2
man 1
margaux 2
married 1
mcgrath 2
meet 2
meeting 1
meets 2
message 1
michael 20
missed 1
missing 1
mission 1
more 2
mostly 1
mother 6
movie 2
much 3
museum 1
must 3
named 1
nantucket 1
need 2
needs 1
never 3
new 7
next 2
night 4
nine 1
not 2
notice 1
now 6
objects 1
of 13
on 6
one 3
only 1
opening 1
opens 1
other 4
out 7
overnight 1
owen 2
pains 1
part 1
party 1
peacefully 1
phone 1
play 2
played 1
plaza 2
point 2
produced 1
producer 1
production 2
professional 1
project 1
promises 1
proposes 1
protect 1
punches 1
pushes 1
quickly 1
randomly 1
realize 3
realizes 3
reassures 1
recognize 1
recognizes 1
reconnects 1
recovery 1
refuses 1
regis 3
reintroduce 1
rejected 1
rest 2
retreats 1
return 1
returns 1
reveals 1
ring 1
rings 1
role 4
rollerblading 1
run 1
save 1
scum 1
seen 1
sees 2
selfcentered 1
sent 1
set 1
she 23
shopping 1
shops 1
sick 1
side 1
sight 3
since 1
sing 1
small 1
soon 3
spend 3
spending 1
spends 3
sprints 1
st 3
standing 1
stands 1
stomach 1
stops 1
storms 2
stranded 1
sudden 1
sunday 3
support 1
take 2
taken 1
takes 1
talk 1
tells 1
ten 1
th 1
thank 2
that 14
the 29
their 1
there 2
they 11
theyve 1
thing 1
thinks 2
though 2
through 1
tiffany 2
time 2
to 30
together 3
too 2
towards 1
twenty 1
twice 1
two 1
ultimatum 1
unseen 1
unwilling 1
up 8
uses 1
using 1
vivienne 12
vowing 1
vows 1
walk 1
walking 1
wants 1
was 3
watches 1
way 3
we 2
week 2
when 5
where 4
which 4
while 2
who 7
whole 1
whom 1
will 2
win 1
with 16
without 1
woman 2
women 1
work 4
works 2
worried 1
would 1
years 1
york 6
