6965523
/m/0gz3kk
/m/0gz3kk
Jules Verne
1884-12
{"/m/03npn": "Horror", "/m/0707q": "Short story"}
a 9
again 1
ago 1
all 1
and 2
another 1
area 1
at 1
attack 1
back 2
becomes 1
bed 1
but 1
coastal 1
dies 1
doctor 2
door 1
during 2
dying 3
effort 1
enough 2
expresses 1
falling 1
father 1
fisherman 2
flacc 1
follows 1
for 1
frritt 1
girl 1
goes 2
hands 1
has 3
he 2
heart 1
her 2
his 1
horrifies 1
house 1
hurricane 1
husband 1
in 3
is 5
it 1
knocks 3
lies 1
lives 1
look 1
man 1
money 2
moneytheir 1
mother 1
night 1
no 1
not 1
of 5
on 1
one 2
only 1
own 1
physician 1
poor 1
rainstorm 1
rich 2
roaring 1
she 2
shortly 1
since 1
sleep 2
so 1
sold 1
some 1
someone 1
soon 1
sound 1
sounds 1
spite 1
storm 2
streams 1
the 10
to 2
trifulgas 3
trifulgasit 1
under 1
unnamed 1
was 1
water 1
when 1
who 1
whose 1
with 1
woman 1
works 1
worse 1
