21555256
/m/05mr8rx
/m/05mr8rx
Henry Fielding


a 6
about 1
and 4
bellaria 4
but 1
cares 1
censure 1
character 1
characters 1
clarissa 1
comedic 1
control 1
desires 1
discussion 1
does 1
emphasizes 1
eventually 1
fielding 1
foil 1
for 2
gives 1
have 1
he 2
his 3
hypocrisy 1
hypocrites 1
in 3
including 1
instead 1
is 3
law 1
little 1
love 2
lovers 1
man 1
manner 1
marries 1
marry 2
masques 1
money 1
more 1
not 1
of 3
order 1
other 1
pairs 1
people 1
play 1
pleasure 1
portrays 1
rake 1
response 1
revealing 1
seek 1
several 1
simply 1
student 1
studies 1
substance 1
than 1
that 1
the 3
to 4
unable 1
unlike 1
up 1
uses 1
valentine 2
veromil 2
virtuous 1
want 1
who 3
wilding 2
wishes 1
with 2
within 1
young 1
