9694201
/m/02ppcpf
/m/02ppcpf
Tamora Pierce
2002
a 18
abandon 1
able 1
across 2
adult 1
after 4
against 1
all 1
altercations 1
and 32
another 1
are 2
army 2
as 7
at 5
baird 1
battle 1
battlefield 1
be 4
because 1
been 1
before 1
began 1
begins 1
being 1
believes 2
between 1
blayce 1
blood 1
border 3
boy 1
brought 1
build 1
burying 1
but 1
by 2
camp 7
can 1
cannot 1
captured 1
care 1
certain 1
chamber 1
charge 1
children 3
choice 2
chosen 2
close 1
combat 1
comes 1
command 1
commander 1
conscienceless 1
continuing 1
control 1
convict 2
country 1
cousin 1
create 1
creates 1
daine 2
days 1
dead 2
deadly 2
declared 2
deliver 1
depleted 1
destroy 1
devices 3
die 1
discriminate 1
disillusioned 1
dismay 1
disobeying 1
district 1
dog 1
domitan 1
duke 1
empty 1
enemy 1
even 1
events 1
far 1
father 1
feed 1
feels 1
few 1
fief 1
fight 2
fighting 1
final 1
find 3
finds 1
flock 1
follow 1
for 5
forbids 1
former 1
fort 1
free 1
friend 1
friends 1
from 8
giant 1
given 2
go 2
goldenlake 1
gone 1
great 1
ground 1
group 1
guards 3
hangs 1
hard 2
harm 1
harrowing 1
has 1
have 3
haven 3
he 2
help 1
her 18
hero 1
herself 1
herwho 1
his 2
homes 1
hope 1
horrible 1
horses 2
hoshi 1
house 1
however 3
hundred 1
if 1
in 9
including 1
inferior 1
intensifies 1
into 4
is 13
it 2
joined 1
journey 1
jump 1
keep 2
kel 11
kidnapped 2
killing 3
king 2
knight 1
knightmaster 1
knights 1
known 2
knows 2
labor 1
last 2
leave 1
leaves 1
led 1
left 1
like 1
long 2
lord 4
lover 1
machines 1
mage 3
magic 1
malesout 1
malorie 1
many 1
masbolle 1
members 1
men 1
merric 1
metal 1
metallic 1
mixed 1
months 1
move 1
much 1
must 1
myriad 1
named 1
names 1
neal 4
necromancy 1
neighboring 1
new 2
noble 1
nobles 1
not 2
numair 1
obey 1
obligation 1
of 29
old 1
on 2
only 1
or 3
oral 1
ordeal 1
ordered 1
orders 2
orphaned 1
other 2
others 1
out 1
outside 1
over 1
owen 1
own 3
path 2
peachblossom 1
peak 1
people 3
personal 1
perverted 1
piece 1
place 1
portion 1
post 2
presumably 1
promises 1
pursue 1
put 1
queenscove 1
raoul 1
rathhausak 3
real 1
realize 1
received 1
receives 1
recompense 1
refugee 3
refugees 5
report 1
requested 1
rescue 1
resolve 1
responsibilities 1
responsibility 1
result 1
return 1
returning 1
revealed 1
river 1
robbed 1
safe 1
salmalin 1
scanra 2
scanran 2
scanrans 2
selfrespect 1
sergeant 1
series 1
several 3
shape 1
she 16
shield 1
simply 1
smugglers 1
so 1
soldiers 1
something 1
soon 2
souls 1
sparrow 1
struggles 1
sufficiently 1
summer 1
surprise 1
swiftmoving 1
take 1
task 1
territory 1
terrorizing 1
tested 1
that 8
the 48
their 2
them 5
these 1
they 3
those 1
tied 1
tired 1
to 23
tobe 3
too 2
torn 1
tortall 3
tortallans 3
track 1
traitor 1
trek 1
tricks 1
truly 1
tyranny 1
urge 1
used 1
vassa 1
views 1
villagers 1
war 3
warleader 1
was 2
wealth 1
wears 1
well 1
what 1
when 1
while 2
who 3
whose 1
wild 1
wildmage 1
will 2
wishes 1
with 5
without 1
woman 1
work 2
worse 1
worthy 1
wouldnt 1
wrong 1
wyldon 6
yearmates 1
young 1
