1194751
/m/04g9mf
/m/04g9mf
Terry Goodkind
1997-09-15
a 26
ability 1
accepts 1
acting 1
action 1
activities 1
after 1
again 1
against 1
aid 1
all 1
allow 1
alone 1
also 1
amnell 1
an 2
and 21
ann 1
annalina 1
announcing 1
another 1
appears 1
are 2
arrival 1
arrives 2
as 2
at 1
attack 1
attempts 1
aydindril 3
barely 1
battle 1
be 2
berdine 1
betray 1
between 2
blood 1
bodyguards 1
book 3
builds 1
but 6
by 5
can 1
capture 1
captured 1
cara 5
caught 1
child 1
city 1
clarissa 2
come 1
compromised 1
conceive 1
condemned 1
confessor 1
continue 2
cure 1
cured 1
curing 1
danger 1
dark 2
dead 2
deal 1
decides 1
defeat 1
depths 1
destroy 1
destroys 1
different 1
disables 1
discover 1
disturbed 1
does 1
doing 1
down 1
drefan 8
emperor 2
enclave 1
ends 1
ensues 1
enter 1
escape 1
eternally 1
ever 1
fact 1
fails 1
finds 1
first 1
fold 1
follow 1
following 2
for 3
found 1
from 5
gets 1
getting 1
gift 1
given 1
gives 1
had 1
halfbrother 1
he 5
heal 1
healers 1
healing 1
her 4
herbalist 1
high 3
him 5
himself 1
his 3
however 1
immediately 2
imperial 1
in 15
informing 1
inn 1
instead 1
intended 1
intent 1
into 2
is 8
items 1
jagang 2
journal 1
kahlan 8
keep 1
kill 1
killed 2
knowledge 2
known 1
kolo 1
lady 1
land 1
last 1
leads 1
learns 1
leaving 1
left 1
let 1
library 1
life 2
link 1
lord 1
luckily 1
magical 1
man 2
marlin 4
may 1
meanwhile 2
meet 1
message 1
midlands 2
midst 1
misled 1
mordith 1
mother 1
mud 1
must 2
nadine 1
named 3
nathan 7
no 1
not 2
novice 1
now 1
obtain 1
of 22
off 1
old 1
on 1
once 1
one 1
order 2
others 1
out 1
pays 1
people 3
picks 1
plague 3
possession 1
prelate 1
prepares 1
price 1
priest 3
prophet 1
protect 1
questioned 1
rahl 4
relationship 1
remember 1
rescues 1
return 1
returns 2
richard 19
ripping 1
run 1
rushes 1
save 2
saved 1
saves 1
search 3
sect 2
see 1
selfproclaimed 1
seriously 1
she 5
shortly 1
shota 1
side 1
sister 3
situation 1
slavery 1
sliph 2
snare 1
so 2
something 1
soon 2
spine 1
spreading 1
spring 1
stillconscious 1
stomach 1
struck 1
struggle 1
succeed 1
takes 1
teach 1
tell 2
tells 1
temple 3
tentative 1
that 8
the 43
their 3
them 7
then 2
thereafter 2
these 1
they 4
this 2
three 1
through 3
time 1
to 27
traitors 1
translation 1
travel 1
travels 3
treasure 1
tries 1
unable 1
under 1
understanding 1
unleashed 1
unnamed 1
up 4
upon 1
used 1
uses 2
vast 1
verna 1
visited 1
volume 1
warns 1
warren 1
was 3
way 1
wed 2
were 1
westland 1
when 5
where 3
who 2
whom 1
winds 2
witch 1
with 5
wizard 4
woman 3
work 1
world 1
zedd 3
