14782971
/m/03gxvwp
/m/03gxvwp
Gavin Lyall
1988
17th 1
a 4
across 1
after 1
an 2
ancient 1
and 3
aqaba 1
arabia 1
armored 1
armoured 1
army 3
assistance 1
attack 1
attempt 1
battle 1
before 1
best 1
botched 1
brigade 1
british 2
can 1
candidate 1
chance 1
city 1
commando 1
concern 1
crashes 1
crusader 1
decides 1
desert 2
destroy 1
discovers 1
drive 1
experience 1
fails 1
fall 1
for 2
formerly 1
fort 1
gone 1
hands 1
harry 1
has 3
held 1
helicopter 1
hidden 1
his 1
however 2
hundred 1
ideal 1
in 4
including 1
infantryman 1
intelligence 1
into 1
is 5
it 1
jordan 1
jordanian 3
london 1
main 1
major 2
maxim 3
miles 1
military 1
missing 1
mission 1
near 1
no 1
of 6
on 1
palestiniandominated 1
part 1
port 1
presumed 1
prototype 1
raid 1
rebel 2
revolted 1
royal 1
ruins 1
rum 1
safety 1
sastrained 1
saudi 1
seized 1
send 1
small 1
southern 1
soviet 1
survival 1
syrian 1
tank 4
team 1
terrorist 1
that 3
the 16
thus 1
to 5
trained 1
trials 1
wadi 1
when 1
who 1
with 2
