8163828
/m/026tww4
/m/026tww4
Jeanne Kalogridis
1987-12-01
a 5
adams 2
after 1
also 1
an 2
answer 1
arrival 1
attack 1
becomes 1
biological 1
bioresearch 1
by 2
call 1
called 1
details 1
died 1
discussing 1
distress 1
dr 2
enterprise 1
eventually 1
faction 1
finding 1
focuses 1
how 1
illegal 1
in 1
infected 1
is 3
it 1
lab 2
members 1
of 2
officer 1
on 3
only 1
or 1
other 1
planet 1
remote 1
research 2
revealed 1
run 1
secret 1
security 1
single 1
stanger 1
starfleet 1
story 1
survivor 2
tanis 3
team 1
that 1
the 7
to 2
uncooperative 1
upon 1
warfare 1
was 1
who 1
within 1
