1575143
/m/05cnz2
/m/05cnz2
John Irving
1998-05-05
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
10 1
158 1
a 16
about 1
academy 1
accident 1
affair 2
affairs 1
affection 1
after 1
agrees 1
although 1
always 1
amsterdam 1
an 1
and 12
arrest 1
as 5
assistant 1
at 1
attends 1
awarded 1
battle 1
be 1
bears 1
because 1
become 1
before 1
book 2
books 1
brief 1
brothers 2
by 2
car 1
case 3
caught 1
certain 1
child 1
childhood 1
children 1
client 1
closet 1
cole 3
conducted 1
constantly 1
court 1
covers 1
custody 2
daughter 1
dead 2
dealing 1
description 1
details 2
detective 4
died 1
disappearance 1
discovers 1
district 1
divorce 1
do 1
doing 1
drawn 1
drive 1
earlier 1
eddie 5
end 2
europe 1
exeter 1
extramarital 1
failures 1
fall 2
family 1
fan 1
father 1
feels 1
finds 1
first 1
follow 1
for 5
forget 1
fortyone 1
four 3
from 2
future 1
had 1
hanging 1
happily 1
happy 1
has 3
have 1
he 3
her 7
herself 2
hiding 1
him 1
hires 1
his 3
home 1
identity 1
if 1
in 13
included 1
infidelity 1
into 1
is 15
it 1
late 1
lead 1
leads 1
left 1
life 1
light 1
likely 1
literal 1
little 1
living 1
lose 1
love 3
loved 1
makes 1
marion 7
marriage 1
marry 1
meets 1
murder 5
murderer 2
mysterious 1
next 1
not 1
note 1
novel 1
novels 1
now 1
observes 1
of 14
ohare 2
old 1
older 1
on 3
one 2
opening 1
orchestrated 1
parents 1
paris 1
phillips 1
picks 1
pictures 1
plot 1
presence 1
prostitute 2
prostitutes 1
quote 1
realizes 1
red 1
reminded 1
research 1
resemblance 1
reunite 1
romance 1
room 1
ruth 18
same 1
school 1
section 2
she 6
shows 1
since 1
situation 1
solved 2
solves 1
son 1
sons 2
specifically 1
stop 1
strengthen 1
striking 1
successful 2
summer 2
ted 4
teenager 1
tempt 1
that 4
the 31
their 2
they 3
thirtysix 1
this 2
time 1
to 14
tour 1
two 3
unable 1
unexpectedly 1
unhappy 1
unknown 1
unwittingly 1
up 1
vermont 2
victim 1
walls 1
was 1
well 1
where 1
which 1
while 1
whirlwind 1
who 3
widow 1
widowhood 1
wife 1
with 4
witness 2
witnessed 1
work 2
would 2
writer 1
writes 1
year 2
years 3
